,search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
0,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,CA Rahul Goyal,/rahul_g_goyal,Aug 16,2023-08-16 14:05:25+00:00,"I don’t know why    keep calling even after the policy is renewed with some other company
Why do I need to inform you about renewals with some other Insurer
Shouldn’t IRDA intervene & make some rules wrt selling policies & harassing policy holder

  #IRDA     #Insurance",1,,,IRDA
1,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,Advocate Vipul Agarwal,/AdvocateVipul1,Aug 21,2023-08-21 12:47:39+00:00,"Our insurance company cheats on us and doesn't even give the policy they gave us.
GET AN APPOINTMENT NOW 9286666660
  #insurance    #fraud   #cheated    #irda    #court   #policestation   #law   #justice   #fightforright   #crime   #Advocate   #bestlawyers   #lawfirminindia   #advocatevipulagarwal   #meerut",,,,IRDA
2,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,Ashish Sinha,/AshishSinhaWall,22h,2023-08-21 18:19:23+00:00," must answer this. It's your responsibility to check whether it's an old disease or not. If it's purchased in 2020 then 3 years existing disease lock period is over now which should be considered too.
  #insurance     #irda",1,,,IRDA
3,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,Sree Vijaya,/sreevijaya23,"Oct 5, 2018",2018-10-05 12:19:17+00:00,"Reliance Health Insurance

  #IRDA    #PaisaQuiz   #Quiz   #contest   #poll   #TwitterPolls   #weeklyquiz   #paisabazaar   #personalfinance    #insurance    #amazon   #AmazonVouchers 

Join in
   
  @Jayantg1717 
  @prahast_S 
  ",,5,6,IRDA
4,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,Insurance Brokers Association of India - IBAI,/ibai_in,"Feb 13, 2021",2021-02-13 03:58:26+00:00,Cyber threat to your personal data is as real as theft of your precious jewels. Here’s an insight on cyber liability insurance for people with a digital presence.  #cybersecurity   #data   #personal   #liability   #IBAI    #insurance     #IRDA,,4,7,IRDA
5,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,Aditi Mehrotra,/aditimehrotra29,"Aug 23, 2021",2021-08-23 17:22:42+00:00,"Need to  #strictly   #monitor    #insurance    #Companies   #claim   #settlement   #procedure  followed by   #insurance   companies, they r  #deducting   #huge   #amount  for d  #COVID19   #treatment  where d  #Government   #fixedup  d  #nominal   #charges  4 treatment   #irda       ",,1,5,IRDA
6,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,GaRJa,/gautam93790765,"Jul 30, 2022",2022-07-30 06:28:48+00:00,"No, it was not cashless,it was debited
Then hospitalisation bills were denied and paid in part
And finally domiciliary treatment was partly paid.
You sell policy to poor citizen for 5 lac, additional coverage of 50 lac,never settle claims   #insurance     #irda    #hospitalisation   #health",1,2,1,IRDA
7,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,SIDHESH,/sidheshv,"Nov 10, 2022",2022-11-10 15:21:05+00:00,"I was told that this arrest is due to   #insurance     #irda   but thats not true . 

I specially informed my hospital that I would pay without insurance dand claim back from insurance later . and even that took them 6 hrs to settle the bills after the doctor announced discharge .",,1,1,IRDA
8,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,JohnnyWalker,/Sailor_at_heart,"Nov 27, 2022",2022-11-27 08:43:43+00:00,There are no rules or guidelines by   #IRDA   (Insurance Regulator in  #India ) for insurance or mediclaim requirement for  #SCI . 95% of the people do not get life   #insurance   or  #mediclaim  benefit after SCI even if they are willing too or afford the premium amount.,,4,3,IRDA
9,https://twitter.com/search?q=%23IRDA%20%23Insurance&src=typed_query&f=top,Policy Genie,/CAMSRepgenie,"Aug 10, 2018",2018-08-10 13:38:37+00:00,"Add your Insurance policies to CAMS PolicyGenie and know each of your policies payout day from a single dashboard
 
 #CAMSRep    #irda     #insurance    #insurancepolicy",,2,4,IRDA
