search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23card&src=typed_query&f=top,SKPH,/SKPHxAi,Sep 14,2023-09-14T12:28:32.000Z,"FEEDBACK WELCOME!
 #SKPH    #CARD  'S  #3DCARD   #LITEMINT   #NFT 'S ON  #STELLAR   #network   SXLECT-DOME  #ART   #EFFECTS",1,6,12,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,PedroBrito2004,/metodologiaecs,Sep 23,2023-09-23T03:47:58.000Z,"Create your  #digital  HiveFest   #card   | 50  $HBD  in prizes

  
---------------------
In  #YouTube , see:  
 #HiveFest   #Hive   #Web3   #Crpto   #Blockchain   #Community   #Spanish   #marketing  ",,4,6,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,oldmanstylecards,/oldmanstylecard,Sep 20,2023-09-19T23:08:38.000Z,1990 Fleer Joey (Albert) Belle Rookie Card. Gorgeous card and thought I was rich putting this in a top loader without a sleeve as a kid  !  #rookiecard   #baseballcard   #baseballcards   #baseballcardcollector   #baseballcardcollection   #cards    #card    #junkwax   #junkwaxera   #fleer,1,4,14,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,RustyKellum,/RustyKellum,Sep 20,2023-09-19T23:00:11.000Z, is a great representative of what we strive for within our   program! A   commit who humbly seeks to give to others…  #CARD,,2,10,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,Zann20 *commissions open*,/Zann20,14h,2023-09-23T19:34:43.000Z,Finished up my sketch and started working on the line art for the character! Really excited with the progress!  #art   #artist   #digitalart   #dnd   #oc    #card    #charactercard   #wip   #clipstudiopaint   #tiefling   #wizard   #bard   #artstream   #streamer   #Twitch   #dndart,,1,3,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,Spike Jones,/SpikeJo36236526,5h,2023-09-24T04:35:06.000Z,#Card   Game.?,,,,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,LincolnMapLady,/LincolnMapLady,Sep 21,2023-09-21T12:45:29.000Z,"Poppies at the IBCC 
I am donating £1 per   #card   and £8 per  #print  sold up to 11th Nov  #RemembranceSunday  to the    #Lincoln   #Lincolnshire  
Order directly from me by DM 
Cards £3.50, Prints £25 inc UK p&p
 #LincsConnect   #ShopLincs   #MHHSBD   #Military   #GiftIdeas   #HandmadeInUK",,11,14,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,IEranLoveyou,/IEranLoveyou,Sep 15,2023-09-15T01:44:53.000Z,"Looking at beautiful flowers in the morning and their continuous life makes me very happy and motivated to live, you can do this in your free time too! #Cameras    #Card    #Cameras   #Sony   #Cards   #photography   #camera   #Louisiana",,1,6,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,oldmanstylecards,/oldmanstylecard,Sep 15,2023-09-15T01:01:06.000Z,The hits from the 1993 Donruss Series 1 Jumbo Pack box! Hit 4 Frank Thomas cards and love the Griffey Jr. Long Ball Leaders insert! Who is your favorite?  #donruss   #frankthomas   #kengriffeyjrcards   #baseballcards   #baseballcard   #sportscard   #sportscards    #card    #cards   #donrussbaseball,5,4,10,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,TheCrosshare,/TheCrosshare,Sep 23,2023-09-23T08:49:52.000Z,"For  #selfpromosaturday  don't have much, but there's a few one shot  #RPG / #dice /  #card    #gamedesign  stuff at   , although the promo is mostly for the  #desperate  attempt to get  #help  with the goal. Shares and all appreciated as i'm running single digits in bank.",,4,2,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,巫KANNAGIカードゲーム,/kannagicb,Sep 21,2023-09-21T10:59:03.000Z,"【巫KANNAGI Card game】image trailer
 
 #tcg   #trading    #card    #game",3,8,20,Debit Card & Credit Card
https://twitter.com/search?q=%23card&src=typed_query&f=top,Cockney Rebel,/RebelHQ,Sep 22,2023-09-22T12:02:10.000Z,#CARD    testing the April closing high,,3,10,Debit Card & Credit Card
