search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23pos&src=typed_query&f=top,Alex SBorg ,/alex_fazel,16h,2023-09-24T14:02:32.000Z,"The 3 words below are completely  misunderstood / misused in  #Crypto :

   #Decentralized   #DeFi 
 
   #Onchain 
 
   #Permisionless 

Example #1:  #Bitcoin  and “possibly”  #Ethereum    the only real  #decentralized   #DeFi  players in the space

(Majority of other   #POS   chains are…  Show more",4,31,62,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,EMERGENCY,/emergency_ong,Sep 22,2023-09-22T13:02:18.000Z,"#LifeSupport  Emanuele, Project Coordinator SAR, ci racconta il soccorso di ieri nel  #Mediterraneo : 28 persone, provenienti da  #Siria  e  #Libia .
Il porto   #POS   che ci è stato assegnato è  #Ravenna : serviranno circa 4 giorni di navigazione per raggiungerlo.",34,55,173,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,Satveer Yadav,/Satveer53457263,20h,2023-09-24T10:38:38.000Z,"#POS   RALLY DELHI CHALO
 #OPS_RALLY_DELHI_CHALO 

जिन्होंने चंद्रयान चांद पर पहुंचाया, उनकी पेंशन बाजारी है, जो नेतागण  बैठे-2 ताली बजा रहे थे, उनकी 4-4 पेंशन तक सरकारी है

 
 
 
 
 
 
 
 
@vijaykbandh",,10,11,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,Schlotz,/SchlotzOfficial,Sep 22,2023-09-22T13:25:09.000Z," Ryan just posted a short video in the Telegram chat - a glimpse of the  #Orion   #Validator  prototype!

This groundbreaking device harnesses  #renewableenergy  and batteries to power our   #PoS  -based  #blockchain .

See for yourself what the prototype looks like!

Stop by here to find…  Show more",3,37,73,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,SME Smart Money Eps,/smartmoneyeps1,26m,2023-09-25T06:29:43.000Z,"Unlock efficiency with Clover Flex - Your all-in-one business solution!  

Full POS, Android 10, Qualcomm Snapdragon, EMV/NFC, 5MP camera, Wi-Fi, and more.

Contact us:
  661-246-1517
  sales@smartmoneyeps.com

 #CloverFlex   #BusinessSimplified   #restaurant   #money    #pos",,,,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,Bitforum Network,/Bitforum_net,15m,2023-09-25T06:41:12.000Z,"The Terra Classic community has united to put a pause on USTC minting.  
 #USTC   #Repeg   #LUNC    #POS    #Voting   #DAO   #Crypto   #Stablecoin   #Binance  ",,,1,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,FinancialBootcamp,/toddfmaki,Sep 16,2023-09-16T13:35:10.000Z,"Decred’s Treasury system empowers stakeholders to fund projects that align with the crypto’s vision.

  #DCR   #DecentralizedCredits   #decred   #Treasury   #DAO    #PoS    #PoW   #Secure",,3,8,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,Delytt,/delytt_,1h,2023-09-25T05:30:00.000Z,"Struggling with inventory chaos?
Take charge of your inventory effortlessly with Delytt POS, ensuring you're always stocked and organized!
Call us on 0714 758 758 to find out just how.
 #Delytt    #POS    #InventoryManagement",,,2,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,𝓢𝓹𝓾𝓷𝓴𝔂 Conservative 𝓟𝓪𝓽𝓻𝓲𝓸𝓽,/SpunkyPatriot_,Sep 24,2023-09-24T00:00:24.000Z,"Don't forget that this   #POS   is who ALL our  #American  money is being sent to in the  #Ukraine . Billions and billions of  #USDollars .  If this doesn't make you regurgitate  , nothing will.  #LGBFJB   #WTH   #StopFundingUkraine   #MAGA",7,72,68,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,Synthetic Chain ,/synthetic_chain,Sep 20,2023-09-20T15:08:16.000Z,"#Bitcoin  inscriptions  
 #Synthetic_Chain  is  #Bitcoin  DeFi, but it's more energy efficient by deploying base   #PoS    $Qtum  QVM  

Proof of Wallet  #Electrum   
 #cryptoken   #cryptokens  ",1,4,3,Point of Sale (PoS)
https://twitter.com/search?q=%23pos&src=typed_query&f=top,TINTED GRAPHIX,/tinted_graphix,Sep 23,2023-09-23T07:08:04.000Z,"Good Morning
Please Retweet My Business

 #GraphicDesign 
  #POS",,4,2,Point of Sale (PoS)
