search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,Malhar Pandey,/malhar_pandey,"Nov 13, 2021",2021-11-13T12:51:51.000Z,"UPI payments everywhere in Diveagar Market ! Even in the masoli Bajar the women selling fish are willingly accepting payments via QR CODE !!!! 

WE HAVE SURELY COME A LONG WAY  
  #UPIIndia",13,66,648,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,Camphor Solutions,/camphorsolution,Jul 14,2023-07-14T06:36:24.000Z,#gpay  launches  #upilite   #googlepay   #upi    #upiindia    #digitalpayment   #digitalindia   #cashlesspayment   #IndianPM   #India   #digitalstructure,,1,1,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,Dr Shrirangrao K. MD.,/docshri,May 14,2023-05-14T17:58:32.000Z,#upiindia    #DigitalPayments  ,,1,,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,SK Sharma,/CMASANTOSHSHAR1,Apr 18,2023-04-18T13:01:45.000Z,"#upipayments    #UPIINDIA    #UPI  for NRIs: Here’s how it works
Set to roll out from April 30, member banks of UPI are gearing up for the launch",,,,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,S R S,/SubbaraoSomela,Sep 6,2023-09-06T17:07:22.000Z,"NPCI launches new UPI features to achieve 100 bn monthly transactions.
The new products include credit line on UPI,             1/2
 #NPCI_BHIM 
  #upiindia    #NPCIBFF2023 
 #UPI   #BHIM   #NPCI   #RBI 
 #GFF2023   #shaktikantadas 
 #NandanNilekani 
 #BiswamohanMahapatra 
 #DigitalIndia",1,,,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,🆂︎🆄︎🆁︎🅰︎🅹︎ 🅃🄷🄰🄲🄺🄴🅁,/surajthackerp,"Apr 18, 2019",2019-04-18T08:40:48.000Z,Still not resolved my issue  same of  #GooglePay   #DigitalIndia   #RBLBank    #upiindia,1,,1,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,BizToc News,/biztocnews,"Jun 8, 2022",2022-06-08T07:03:06.000Z,India’s central bank to allow linking credit cards with UPI  #centralbank    #upiindia    #southasian   #shaktikantadas   #fintwit  ,,,,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,Ronakians,/ronakians,"Nov 12, 2022",2022-11-12T10:42:00.000Z,"Set up UPI Autopay on Paytm & forget about bill due dates and reminders!  
.
.
.
 #upi    #upiindia    #paytm   #paytmkaro 
 #TIPRAisComing",,,,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,सहदेव मीरा सिंह बघेल,/sahadev_baghel,Aug 21,2023-08-21T02:57:28.000Z,#UPIPayment    #UPIINDIA         ,,,1,UPI
https://twitter.com/search?q=%23upiindia&src=typed_query&f=top,Aniruddha Phene,/abphene,Mar 29,2023-03-29T08:17:26.000Z,"Charges on UPI transactions not applicable to normal UPI Payments
 #UPIcharges   #UPI   #UPIPayments   #UPITax   #upipayment    #upiindia    #npci",,1,,UPI
