search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,AajTak,/aajtak,Sep 13,2023-09-13T13:42:10.000Z,"UPI से गलत खाते में चला गया पैसा, घबराएं नहीं... ऐसे पाएं वापस! 

 #ONLINETRANSACTION    #UPIPayment    #ATDigital",31,822,"1,883",UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top, 𝕏-Bhakt #Modani ,/loudspeaker_off,Sep 10,2023-09-09T23:26:46.000Z,"#upipayment   
thankyou raghu ram rajan for UPI",,4,6,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,Jitendra Prasad,/Jprasad55,Sep 14,2023-09-14T02:54:04.000Z,How   former FM   were mocking  #UPI    #UPIPayment   before 2014. If congress and INDIA alliance was in power the digitalization DBT etc would have not been possible,,,,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,Money Purse {మనీ పర్స్ },/Moneypurseadv,Sep 17,2023-09-17T05:30:00.000Z,"ఇంక ATM CARD తో పని లేదు 
 #ATM   #Finance   #banking   #UPI    #UPIPayment    #Cash   #Debitcard   #banks   #bankindia   #Moneywithdraw",,2,14,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,LetsPe_Official,/Letspe_official,Sep 13,2023-09-13T18:06:49.000Z," Hello UPI, BillPay Connect, & More!   The Future is Here!  
 #UPI    #UPIPayment    #RevolutionNow   #helloupi   #NPCI   #fintechnews   #payments   #payment   #BusinessNews   #Finance   #Cloud   #technology   #SaferwithGoogle   #WhatsApp   #AnantAmbani   #uranium   #ThisMorning   #CBDC   #inflation   #letspe",,1,4,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,Nine Star Group,/9starbroking,Sep 15,2023-09-15T12:55:18.000Z,Guess what?  UPI our homegrown innovation and a leader in the digital economy is going global and Its wonder is spreading beyond our borders.   #UPI   #DigitalPayments   #India   #InnovationNation    #UPIPayment,1,,,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,Dainik Jagran,/JagranNews,Sep 10,2023-09-10T16:18:26.000Z," || गलत पते पर ट्रांसफर हो गया है यूपीआई से पैसे? परेशान ना हो जल्दी से करें बस ये काम 

  #UPIPayment    #UPI   #OnlinePayment",1,14,36,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,Karan Singh,/KaranSingh734,Sep 12,2023-09-12T14:47:01.000Z," Day 9 of  #100DaysOfCode :  
 Integrated Razorpay for payments and  webhooks in my EdTech project!
  Handling enrollments or payments seamlessly   Navigating the intricacies of webhooks 
  Making learning accessible, one payment at a time
 #buildinpublic    #upipayment    #payment",,,4,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,Global Sanghi ,/globalsanghi,Sep 14,2023-09-14T13:39:00.000Z,"#UPI  story of Bharat is legendary

  #UPIPayment  
 #DigitalIndia 
 #Digitaleconomy",,,,UPI
https://twitter.com/search?q=%23upipayment&src=typed_query&f=top,Dainik Jagran,/JagranNews,Sep 10,2023-09-10T18:29:00.000Z,"गलत पते पर ट्रांसफर हो गया है यूपीआई से पैसे? परेशान ना हो जल्दी से करें बस ये काम

 #WrongUPIPayment    #UPIPayment",2,22,50,UPI
