search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23upipin&src=typed_query,"Ramyas, PhD",/dramyasingh,Mar 22,2023-03-22T10:03:04.000Z,"No new netBanking for  #next  1week 
 #sbiBank  is playing truant since 6-8months
SBI is not giving  #aadhaar  option to generate   #upiPin   

This is the homeCity of the  #ChiefMinister  of biggest state of largest democracy in the world
 
 
 #rbiGovernor  Listening?
 #YogiJi",,11,12,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,Cyber Crime Wing - Tamil Nadu,/tncybercrimeoff,May 22,2023-05-22T05:00:01.000Z,"அனைவரும் அறிய கூடிய எண்கள் இல்லாமல்  strong ஆன password-களை  வைத்து கொள்ளுங்கள்.

To Report Financial Crimes - Call 1930 (24x7)

To Report Non-Financial Crimes -  
 #CyberCrimeAwareness   #TNCyberCrime   #ATMPin    #UPIPin    #PasswordHacks   #PasswordHacking   #Password",1,12,19,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,Cyber Crime Wing - Tamil Nadu,/tncybercrimeoff,Apr 24,2023-04-24T05:00:00.000Z,"Beware of Shoulder surfing Fraud!

Shield your mobile screen while entering passwords, UPI pins, and other sensitive details, etc.

To Report Financial Crimes - Call 1930

 #CyberCrimeAwareness   #CyberKural   #TNCyberCrime   #CyberCrimeHelpline   #ATMPin    #UPIPin    #ShoulderSurfingFraud",,1,4,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,PayPoint India,/paypointindia,Jun 22,2023-06-22T05:41:48.000Z,"Securely set your UPI PIN using Aadhaar in just 7 simple steps, embracing the convenience of digital payments while ensuring secure transactions every time.

 #PayPoint   #HarPaymentDigital   #DigitalPayments   #UPI    #UPIPIN    #Aadhaar   #Fintech",1,1,9,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,Nihal,/NihalRP_,Mar 5,2023-03-05T05:28:11.000Z,"It is not easy to identify  #scammers , but yes it definately possible to avoid them and take some precautions like not sharing any password to anyone and other things  #stayaleart   #staysafe   #stayno    #upipin    #password",,,,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,Grahak,/RajConsumer,Aug 23,2023-08-23T09:00:02.000Z,"याद रखने वाली चीज़ें !

 #जागोग्राहकजागो   #JagoGrahakJago   #ConsumerRights   #Rajconsumer   #Customer   #Consumerhelpline   #RajConsumerHelpline   #consumer   #consumerism   #consumerbehavior   #consumerprotection   #consumers   #customerexperience    #upipin    #consumerinsights   #consumption   #cpact2019",,,,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,Vanshita Quips,/vitaAnsh,Mar 23,2023-03-23T08:26:20.000Z,"No new netBanking for  #next  1week
 #sbiBank  is playing truant since 6-8months

SBI is not giving  #aadhaar  option to generate   #upiPin   

This is the homeCity of the  #ChiefMinister  of biggest state of largest democracy in the world
 
 
 #rbiGovernor  Listening?
 #YogiJi",1,10,11,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,Grahak,/RajConsumer,Sep 2,2023-09-01T20:00:00.000Z,"फ्री-टू-एयर (FTA) चैनल क्या है?

 #जागोग्राहकजागो   #ग्राहक   #उपभोक्तामामलेविभाग_राजस्थान   #JagoGrahakJago   #ConsumerRights   #Rajconsumer   #Customer   #Consumerhelpline   #consumers   #customerexperience    #upipin    #consumerinsights   #consumption   #CCPA   #cpact2019",,,,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,farman,/Farman0263D,Apr 1,2023-04-01T12:53:41.000Z,"It is not easy to identify  #scammers , but yes it definately possible to avoid them and take some precautions like not sharing any password to anyone and other things  #stayaleart   #staysafe   #stayno    #upipin    #password",,,,UPI
https://twitter.com/search?q=%23upipin&src=typed_query,Grahak,/RajConsumer,Sep 6,2023-09-06T06:00:00.000Z,"काले जीरे में होने वाली चारकोल चुर्ण से रंगे हुए घास बीज की मिलावट को पहचानें।

 #जागोग्राहकजागो   #JagoGrahakJago   #ConsumerRights   #Rajconsumer   #Customer   #Consumerhelpline   #RajConsumerHelpline   #consumer   #consumerism    #upipin    #consumerinsights   #consumption   #CCPA   #cpact2019",,,,UPI
