search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Chirag Jn07,/ChiragJn07,"Aug 21, 2022",2022-08-21T14:36:19.000Z,"*If they start charging fee on every  #UPIpayment  *
People to UPI : 
 #UPI   #UPICharges    #UPITransaction",2,10,102,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Swatantra ₿,/acidkidrock,"Aug 21, 2022",2022-08-21T13:40:43.000Z,"Cash be like 

 #UPIpayment 
 #UPICharges   #UPI    #UPITransaction",,3,36,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Marketing Motivation,/marketing_motiv,"Aug 22, 2022",2022-08-22T02:46:56.000Z,"Govt won't charge for services,  #UPI  will remain free: Indian Finance Ministry.  #india   #bhimupi   #bhim   #UPIpayment    #UPITransaction",,13,42,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Sudhanshu Mishra,/pt__sudhanshu,"Aug 21, 2022",2022-08-21T14:45:16.000Z,"Should there be charges on UPI Transaction?
 #UPICharges   #UPIpayment   #UPI    #UPITransaction  
",,2,5,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Satyam,/Satyam22tweets,"Aug 22, 2022",2022-08-21T20:03:10.000Z,"Please ask UPI to give some cashback also better luck next time  kab tak likhte rahenge Apna time kab aaega?  
 #UPIpayment 
 #UPICharges 
 #UPITransaction 
 #UPI",,1,1,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Bishnu Prasad Mishra,/BishnuPrMishra,"Aug 22, 2022",2022-08-22T00:02:37.000Z,"LOL Public feedback! Did they care for public feedback before imposing GST!?? 
 #UPIpayment   #UPICharges    #UPITransaction    #UPI",,,2,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,@w@n N@ith@ni ,/pawannaithani,"Sep 16, 2022",2022-09-16T13:37:45.000Z,"Sending 1 Rs. Through  #upi  before sending the whole amount to someone is the real two factor authentication  
These things we do almost everytime in India.
  #UPITransaction  
 #programming 
 #Coding 
 #networking 
",,2,3,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Pʀᴏᴍᴏᴛɪᴠᴇ Dɪɢɪᴛᴀʟ Sᴏʟᴜᴛɪᴏɴs - Mᴀʀᴋᴇᴛɪɴɢ Aɢᴇɴᴄʏ,/PromotiveDigit1,"Oct 8, 2022",2022-10-08T06:10:29.000Z,"Onam Soon Start Using India’s RuPay Card & UPI Following Bahrain, Saudi Arabia, and the UAE, Oman Will Be The 4th Middle Eastern Country to Use UPI.

 #upi   #promotivedigitalsolutions   #marketing   #digitalmarketing   #digitalmarketingagency    #upitransaction    #transaction",,1,1,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,Channeliam.com,/Channeliam,Aug 2,2023-08-02T11:23:24.000Z,"UPI Records Strong Rebound with 6.6% MoM Growth in July
 
After a sluggish performance in June, the Unified Payments Interface (UPI) in India experienced a remarkable resurgence in July
  #upitransaction    #UPITransactions   #upimoneytransfer   #UPIMoney",,,,UPI
https://twitter.com/search?q=%23upitransaction&src=typed_query&f=top,APAC News Network,/Apacnewsnetwork,Aug 2,2023-08-02T10:02:52.000Z,"UPI transaction value up 4% in July; inches closer to 10 billion in volume
To read more, click here:
 
 #APACTechnology    #upitransaction    #upi   #NPCI",,,2,UPI
