search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,𝐒𝐢𝐝𝐝,/sidd_sharma01,Mar 28,2023-03-28T08:13:35.000Z,"Reality!!!

1.1% Charges on   #UPITransactions  
 #FreeGrains  to 82 Crore People.
 #FreeFoodGrain   #Food82CrorePeople",3,21,44,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,D-Intent Data,/dintentdata,Mar 30,2023-03-30T16:26:33.000Z,"579
ANALYSIS:Misleading

FACT:Many users spreading   #False  news with the claim that   #UPITransactions   of more than Rs 2,000 to be charged at 1.1% starting April 1,fact is that the new interchange charges are only applicable for the PPI merchant transactions,there is no charge(1/2)",1,60,78,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,Lama Lines,/LamaLines,Apr 3,2023-04-03T11:22:02.000Z,"Digital  #India !
But at the Cost of  #Indian  Citizens!
 #BJP   #Modi   #UPIcharges   #UPIPayments    #UPITransactions    #UPI 
 #LamaLines",,52,57,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,Amitabh Chaudhary,/MithilaWaala,Mar 31,2023-03-31T06:33:01.000Z,"#Congress  and  #ArvindKejriwal  gang is spreading lies that   #UPITransactions   will have charges.. This is fake news, the transactions are absolutely FREE",,29,41,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,New India Junction,/nijunction,Jan 3,2023-01-03T12:28:27.000Z,"Digital payments via UPI touch a record high in 2022. UPI has emerged as the payment system of the future!

 #DigitalPayments    #UPITransactions    #NewIndiaJunction",,70,70,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,RJ Pinky,/RJPINKY935,Mar 29,2023-03-29T13:52:41.000Z,"Dear   , 
If UPI is FREE, then Why I'm being charged 3 Rs. extra as ""Platform Fee"" for recharging my Phone number???? Can u PLEASE explain???  
 #PhonePe   #GPay   #PayTM   #UPIcharges   #UPIPayments    #UPITransactions    #DigitalIndia",39,23,70,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,Vikas Singh,/SailorVikas,Sep 6,2023-09-06T16:37:59.000Z,"UPI Atm being rolled out in phases in Bharat. Revolutionary change redefining ATM operations.
""भारत शिखर सम्मेलन"" मे भी  भारत माता की जय  
 #UPIATM 
  #UPItransactions  
 #माफी_माँगो_सुरजेवाला 
 #Haldiram",2,11,48,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,Kashyap Mota,/kashyapmota,Sep 6,2023-09-06T17:05:28.000Z,"This is quite historic....u no longer need a card to withdraw money

Although a UPI app needs you to have a debit card which consists of either of RUPAY, Visa and MasterCard....

But the use of UPI for withdrawal of money is really big

 #UPIATM    #UPItransactions",,7,9,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,State Bank of India,/TheOfficialSBI,Feb 7,2023-02-07T04:43:48.000Z,"Keep your hard-earned money safe. Don't share your UPI Pin and other bank details with anyone.

 #SBI   #AmritMahotsav   #Fraud   #OnlineTransactions    #UPITransactions    #BeSafe   #BeAlert",21,52,195,UPI
https://twitter.com/search?q=%23upitransactions&src=typed_query&f=top,CA Sandeep Kumar,/sandy110malik,Mar 29,2023-03-29T17:46:29.000Z,Extra charges on UPI Transactions  #stockmarket   #UPIcharges    #UPITransactions    #UPIPayments,,,2,UPI
