search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,ESHAN CHATTARAJ,/ESHANCHATTARAJ,Sep 25,2023-09-25T07:03:11.000Z,"#AEPSfraud   should be demolished , this need to be  measure closely by  
 #bankfraud   #cyberfraud",,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Cyber Dost,/Cyberdost,Jan 4,2023-01-04T10:08:47.000Z,"Your biometric information should remain confidential. Here are the steps to lock biometric information to stay secure online.
If you are a victim of cybercrime, dial 1930 and report on    #cyberjaagrookta 
  #AePSfraud    #cybercrime   #cyberaware   #cybersecure",14,91,161,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,sarbajit banerjee,/Sarbajt97,Sep 6,2023-09-05T18:56:06.000Z,"#AEPSfraud  
 #Aadhar  biometric used w/o my knowledge
A total of 30k was deducted from my account in 3 phases.I didn't get any sms notifications.         Please look into this.
  How can these complaints be closed w/o any investigation?",3,1,2,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Vignesh Vj,/itzz_Vignesh_Vj,Feb 15,2023-02-15T04:58:00.000Z," Why Complaint Submission isn't working in your Portal?
I have been trying to raise a Complaint for past 4 day regarding a   #AePSFraud   ..
Can you address this Issue Immediately
..",,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Cyber Dost,/Cyberdost,Jan 3,2023-01-03T07:08:54.000Z,"बायोमेट्रिक्स क्लोनिंग द्वारा वित्तीय धोखाधड़ी से  बचें।
साइबर क्राइम के पीड़ित 1930 पर कॉल करें और   पर अपनी शिकायत दर्ज कराएं।
 #SurakshitAadhar   #Cybersafety   #Cyberawareness    #AePSFraud    #CyberCrime      ",18,127,368,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,sameera manuri,/ManuriSameera,"Jul 24, 2022",2022-07-24T14:38:05.000Z,"Without otp or finger print, why is this withdrawal enabled? Who is responsible for money? Banks can't refund right?   #aepsfraud   ",1,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,alicia,/aliciakitchen2,Jun 27,2023-06-27T17:59:20.000Z,"We are in touch with the respective branch, they have this not in our hand/we can't do anything kind of attitude. If our money is not safe in India's most trusted bank where will we go?This sucks!   #AEPSFRAUD    #BanAEPS",1,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Pritish Tiwari,/pritish_tiwari,"Sep 21, 2022",2022-09-21T17:23:30.000Z,"                        
  #AEPSFraud    #Fraud   #Aadhaar   #AEPS   #Aadhaarenabledpaymentsystem",,1,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,@japanisikka_,/japanisikka_,"Jun 26, 2021",2021-06-26T11:44:52.000Z,"Hey   is it enabled by default for every customer? If so, how can one disable it? I don't want to put myself in risk.   #AEPSfraud",1,1,1,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,DIGVIJAY TALAN,/PRINCEDIGG,"Aug 8, 2021",2021-08-08T12:19:56.000Z,#AEPSfraud   के माध्यम से रोज करोड़ों की चपत लगा रहे साईबर अपराधी ...   खाताधारकों के पैसों को बचाने के क्या उपाय कर रहा है ???                 ,1,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Nawada Police,/nawadapolice,Jan 4,2023-01-04T05:34:10.000Z,अपने बायोमेट्रिक प्रिंट्स को काम होने के बाद   या   पर लॉक करें। साइबर क्राइम के पीड़ित 1930 पर कॉल करें और   पर अपनी शिकायत दर्ज कराएं।  #SurakshitAadhar   #Cybersafety   #Cyberawareness    #AePSFraud    #CyberCrime,,,4,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,alicia,/aliciakitchen2,Jun 27,2023-06-27T07:53:09.000Z, Some one did 3 unauthorised transaction from our account using   #aepsfraud  .we didn't receive any sms or email about these   can we recover our money?,,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,bheemavajjula srinivas,/bh_srinivas,Jun 22,2023-06-22T12:21:24.000Z,         #AEPSfraud    #APstate,1,,1,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Rakesh,/itsrakesh,"May 22, 2018",2018-05-22T02:46:27.000Z,#AEPSFraud   Aadhar Enabled Payment System Fraud ,,,1,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,#DestroyTheAadhaar,/Orionis57,Jun 28,2023-06-28T04:20:22.000Z,"#AEPSFRAUD   is enabled by default. Since you've authenticated via fingerprint, no OTP is required. 

You are suffering the consequences of the visionary design of the  #AadhaarMafia . This issue was brought to the attention of the court. They ignored it.",1,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Citizenry Cybersuraksha Assocation,/diplomacy_tech,Aug 7,2023-08-07T13:04:08.000Z,"Avoid financial fraud by biometrics cloning,  lock your biometric prints after the work is done at   or  
 #surakshitaadhar    #AePSfraud    #cybersecurity   #DataSecurity   #cybercrime   #privacy  ",,,,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,SRIKAKULAM DISTRICT POLICE,/POLICESRIKAKULM,May 9,2023-05-09T08:59:30.000Z,"AePS(ఆధార్ ఎనేబుల్డ్ పేమెంట్ సిస్టమ్) ద్వారా మీ ప్రమేయం లేకుండా, మీ బ్యాంక్ ఖాతా నుండి డబ్బులు పోగొట్టుకున్నట్లయితే, వెంటనే మీ ఆధార్ బయోమెట్రిక్(ఫింగర్ ప్రింట్) ను ఇతరులు దుర్వినియోగం చేయకుండా ఆధార్ వెబ్సైట్ లేదా mAadhar మొబైల్ యాప్ ద్వారా లాక్ చేసుకోండి.
 
  #AePSfraud",,,5,AEPS
https://twitter.com/search?q=%23aepsfraud&src=typed_query&f=top,Anantapur Police,/AnantapurPolice,"Mar 18, 2022",2022-03-18T06:49:10.000Z,"సైబర్ అలర్ట్ .... అనంతపురం జిల్లా SP డాక్టర్ ఫక్కీరప్ప కాగినెల్లి IPS
Topic :“  #AEPSFraud   (Aadhaar Enabled Payment system) withdrawals FRAUD”.
మీ వ్యక్తిగత సమాచారంతో పాటు మీ వేలి ముద్రలను తరచుగా సమాచారం నిమిత్తం ఎవరికైనా ఇస్తుంటారా ! అయితే జాగ్రత్త..! 
 #APPOLICE100 
 #dgpapofficial",1,3,10,AEPS
