search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Ian M.,/Yartctls34,"Jul 21, 2020",2020-07-21T03:15:23.000Z, Does this mean are you finally adding   #contactlesscard    #ApplePay  &  #GooglePay  support? I sure hope so.,2,1,3,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,AIMIFA,/AIMIFA1,"Jun 12, 2013",2013-06-12T17:32:02.000Z,Are contactless cards really the way forward? What is your view on this?   #contactlesscard   ,,1,,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,RFID Cloaked,/RFIDCloaked,"Nov 23, 2016",2016-11-23T00:19:19.000Z,"@5toclose 97% funded, get your  #free   #exclusive   #backerclub  card support  #RFIDsecur   #kickstarter    #contactlesscard",,2,,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Shrifo,/_shrifo,Sep 22,2023-09-22T11:28:37.000Z,"Shrifo Smart Card - a tech innovation that perfectly complements your unique style. Stay ahead of the game with this must-have accessory.
.
.
.
.
 #ShrifoSmartCard   #Techinnovation   #digitalidentity   #smartbusinesscard   #bestbusinesscards    #contactlesscard    #digitalbusinesscard",,,,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,DEKRA Testing&Certif,/DEKRA_Test_Cert,"Sep 30, 2015",2015-09-30T08:52:32.000Z,@at4wireless achieves  #EMVCo   #Accreditation  for  #Mobile  and   #ContactlessCard    #typeapprovals  ,,1,,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Lorenzo H. Gomez,/lgomezperu,"May 10, 2021",2021-05-10T17:33:34.000Z,"
Following the pandemic's increase in  #contactlesspayments ,   and   have collaborated to make a   #contactlesscard   with  #biometric  security",,,5,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Bank Gaborone,/BankGaborone,"Dec 28, 2022",2022-12-28T10:05:09.000Z,"Tap your card at our contactless ATMs to transact! Tse tsa gore ATM e jele karata ke mainane a bogologolo!

Level up your banking to enjoy a stress-free holiday!

   #NextLevelBanking   #BankGaborone   #TheRedBank   #MoveWithGold    #ContactlessCard    #BankSmarter",1,6,10,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Vashi,/ViratdaStyle,"May 14, 2015",2015-05-14T04:55:25.000Z,    #OneTapTo  shop with  #sbiINTOUCH  DebitCard.   #TapAndGo    #ContactlessCard,,1,,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Bank Gaborone,/BankGaborone,"Dec 7, 2022",2022-12-07T07:05:57.000Z,"Festive o, ga go batle di inconvenience tsa dimachine tse di jang dikarata!
Tloga o hetwa ke monate!
Use our contactless ATMs as a convenient, safe, and secure way of banking. Just tap to transact!
 #NextLevelBanking  #BankGaborone#TheRedBank  #MoveWithGold    #ContactlessCard",1,3,4,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,CC Technology Corporation,/cannatractech,"Aug 21, 2020",2020-08-21T18:00:49.000Z,"An impressive breakdown of contactless card usage from a recent Mastercard study!

How many times a week do you use  #contactless  payment?

 #CannaTrac   #CannaCard    #ContactlessCard    #ContactlessPayment",,3,8,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Kris Kujawinski,/hairstylistKris,"May 30, 2019",2019-05-30T14:38:59.000Z, ...I went to   to get a   #contactlesscard   to use on the  #OMNY   #farepaymentsystem  for the   6 line at  #astorplace  which is supposed to start on 5/31...they won’t be available until mid June...so  #tap  and  #go  is a  #no  for  #now ...  #CHASE   #MTA  ,1,,2,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,Seema Rajpoot,/simma90,"Mar 14, 2018",2018-03-14T14:59:18.000Z,Use it and get benefits....     #contactlesscard,,2,5,Contactless
https://twitter.com/search?q=%23contactlesscard&src=typed_query&f=top,The Mussel Pod,/brancasterbay,"Aug 29, 2020",2020-08-29T11:49:39.000Z,"What a day!  
Hot steamy takeaway   #moulesmariniere  is required we think! 
Mussel Pod to the rescue! #  
Serving all her favourites from 12-8pm today (Saturday), Sunday &  #bankholiday  Monday. 
  #contactlesscard    #handsanitizer   #socialdistancing   #takeaway",1,1,2,Contactless
