search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23csc&src=typed_query&f=top,CasinoCoin ,/CasinoCoin,18h,2023-09-26T13:54:19.000Z,"CasinoCoin powered p2pbet provides a platform to wager on virtually anything, from anywhere in the world, bridging gaps and transcending borders.

  #CSC    #XRP   #crypto",10,49,121,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,XJohansonnn,/XJohansonnn,Sep 26,2023-09-25T22:03:24.000Z,"People selling  #CasinoCoin  at ATL price while 2 big things are lined up for Q4 

1 million   #CSC   for $100",7,22,48,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top, Crypt Social Club,/cryptsocialclub,5h,2023-09-27T03:10:42.000Z," Big congrats to both the BUYER & SELLER!  

Mini Sweep  
4   #CSC   tokens have found new homes, totaling 0.012 ETH ($19.08 USD) in sales.

Just 15 sweeps left until our double trouble 1.1  #Giveaway  is up for grabs! 

Don't miss your chance to win big! ",1,1,5,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top, Crypt Social Club,/cryptsocialclub,Sep 25,2023-09-25T02:39:19.000Z," Let's turn up the heat as we dive into this SPOOKY SEASON - it's our time to shine!

Just 21 sweeps left until our   #CSC   1.1 finds its new owner  

We're sweetening the pot! 
Adding an incredible 'ArtistBest""  #CryptReborn  1.1 NFT to the raffle (1/50)

Sweep to victory!",4,11,19,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,XJohansonnn,/XJohansonnn,Sep 24,2023-09-24T08:13:45.000Z,"100,000  #CasinoCoin  Sunday  #Giveaway !! 

Repost and follow! 

  #CSC    #XRPL",39,177,161,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top, Crypt Social Club,/cryptsocialclub,Sep 22,2023-09-22T05:27:02.000Z,"Congratulations to both the BUYER & SELLER! 

Mini Sweep  
2   #CSC   tokens found a new home   

#9381 has just been sold for 0.002 ETH ($3.19 USD)
#7985 has just been sold for 0.002 ETH ($3.19 USD)

Only 40 Sweeps left until our prized 1.1 Dessert Devil is raffled off.  ",1,4,8,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,360 Properties,/360Propertiess,Sep 25,2023-09-25T06:00:00.000Z,Big news in the world of real estate! discount policy at Capital and Lahore Smart city has been extended. Get a glimpse of what's coming in this short reel and don't forget to subscribe to our YouTube channel for all the details. Invest smart with us!   #CSC    #LSC   #discount   #invest,,1,1,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,CSC Safar,/CscSafar,Sep 25,2023-09-25T06:20:27.000Z,"Time is running out!

The clock is ticking, and you only have 6 DAYS LEFT to enter our Monthly and quarterly Mega Monsoon Flight Booking Contest.

Don't miss out on this incredible opportunity to win amazing incentives.

 #cscsafar   #digitalindia    #csc    #flightbookingcontest",,6,12,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top, Crypt Social Club,/cryptsocialclub,Sep 24,2023-09-24T03:47:48.000Z," Congratulations to both the BUYER & SELLER!
 
  SWEEP ALERT  

5   #CSC   tokens just sold!   
totaling 0.016 ETH ($25.49 USD)

We've got just 21 Sweeps left until our much-anticipated 1.1 Dessert Devil is given away.  
 #SocialClub   #LFGrow   #SWEEPALERT",1,3,14,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,CSCeGov,/CSCegov_,Sep 19,2023-09-19T04:56:12.000Z,"Ganpati Bappa Morya!!

May the sweet modaks and the divine blessings of Lord Ganesha bring sweetness to your life.   #CSC   wishes you all a Happy Ganesh Chaturthi!

 #DigitalIndia   #GaneshChaturthi   #GaneshChaturthi2023   #GanpatiBappaMorya   #HappyGaneshChaturthi   #RuralEmpowerment",11,14,105,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,CSCeGov,/CSCegov_,Sep 25,2023-09-25T09:26:01.000Z,"""CSC आज कई लोगों को रोजगार दे रहा है, और इसी से गाँव व गरीब का कल्याण भी हुआ और रोजगार के मौके भी बने"" - श्री नरेंद्र मोदी, माननीय प्रधान मंत्री

माननीय प्रधान मंत्री जी ने   #CSC   के बारे में और क्या कुछ कहा, देखने के लिए, हमें  #YouTube  पर सब्सक्राइब करें. ",34,61,356,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,Tele-law,/TeleLaw_,Sep 22,2023-09-22T10:48:47.000Z,"Panel Lawyer Nand Gopal shares his Tele-Law experience.

Empowering Citizens through Tele-Law - Reaching the Unreached...

 #TeleLaw   #DigitalIndia   #ReachingTheUnreached   #DoJ   #AccesstoJustice    #CSC    #JusticeForAll   #DepartmentOfJustice    ",1,1,7,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,XJohansonnn,/XJohansonnn,Sep 23,2023-09-23T13:33:22.000Z,"  ""We have 2 bigger things lined up for 2023 and one massive item that is coming some time in 2024"" 

   
  #CSC    #CasinoCoin   #XRPL   #GamblingX   #Metav",5,7,22,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,Rivered24,/rivered24,Sep 25,2023-09-25T02:50:16.000Z,LFG just swept these 2 beauties to get a shot at that   #CSC   1.1 and  #Cryptreborn  artist best. Still need an artist best and Gemstone to add to my collection,1,5,7,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,Parveen,/kumarparveen386,16h,2023-09-26T16:05:08.000Z,"SHG members (VLEs) are distributing pensions through digipay and arrange awareness program in the state of Punjab.   #DigiPay    #CSC    #DigitalIndia   #RuralEmpowerment 
 
 
 
",,,,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,"Astronomy, Space, NASA, & Science News",/SpaceWatchtower,4h,2023-09-27T04:38:42.000Z,"#Scientists  created  #AI  that could detect  #alien   #life 
 
 #Space   #Astro   #NASA   #JPL   #NSF   #ESA   #CSA   #JAXA   #SETI   #ET 
 #ISS   #SLS   #STS   #SpaceX   #Buhl   #SHBA   #AAAP    #CSC    #AAM   #ASTC 
 #IPS   #UFO   #UAP   #UAV   #AAV   #IDA   #KSC   #JSC   #HST   #NRAO   #JWST",1,,1,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,Marek ,/MarekTam4,Sep 18,2023-09-18T10:44:26.000Z,"Forgot I had one of these  
  #CSC    #casinocoin   #crypto",1,1,9,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,HRF,/hrfeconomics,5h,2023-09-27T03:13:56.000Z,Casino Coin   #CSC,,,1,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top, Crypt Social Club,/cryptsocialclub,Sep 20,2023-09-20T13:42:30.000Z," Good morning!

Step out of the Graveyard with boundless excitement today. Allow colors and creativity to be your guiding lights.  
 #GoodMorning   #CreativityMatters 
  #CSC    #socialclub",5,6,12,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,CSC Parivar,/CscParivar,Sep 24,2023-09-24T02:18:30.000Z,"CSC - Your Trusted Neighbourhood Kiosk...

Get All Services Under One Roof...

To know more about CSC Services, visit:  
  #CSC    #DigitalIndia   #CSCJaankariPortal   #CSCJaankari   #JaankariSuvidhaPortal   #CSCJaankariSuvidhaPortal   #RuralEmpowerment",,1,15,AEPS
https://twitter.com/search?q=%23csc&src=typed_query&f=top,CSC Safar,/CscSafar,Sep 22,2023-09-22T05:57:26.000Z,"Congratulations  to CSC Top 5 Runner-up VLEs in the Flight Quarterly Monsoon Mega Contest.

9 Days are left!!

Hurry up and don't miss out on the opportunity to participate in the ongoing contest until 30 Sep'23.

 #cscsafar    #csc    #digitalindia   #flightcontest",1,1,8,AEPS
