search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,MD SHAKIR,/mdshakir_1,"Aug 8, 2022",2022-08-08T09:41:41.000Z,         I need my money back. You guys don't even care to reply for mail or tweet. What kind of service you are providing. Where to enter the otp for refund? Disgusting interface for ticket booking. Poor service.   #cscfraud    #Cscfailure,1,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Pareshan Vle,/PareshanV,"Apr 17, 2022",2022-04-17T02:29:14.000Z,"Bhak, bas apni sabasi lutne ka kaam kiye ha rhe ho. Dikhawa sirf aur sirf dikhawa.   #Cscfraud   plz help sir. Csc e gov ne, humme eshram card banwane ka paisa nhi diya hai.   ",1,2,3,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,la loba,/_jester09_,"Aug 29, 2013",2013-08-28T23:25:17.000Z,Boycotting   #CSCFraud   at  #VMworld2013,,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,ExcelHindiTips,/excelhinditips,Aug 22,2023-08-22T11:31:15.000Z,"    Today i have received a fraud call behalf of CSC . he is know the DM name & him name is ravi sharma. he is asking money for the csc services. 
 all the csc team respective person please mark a cyber-crime complain for him behalf of csc .  #cscfraud",,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,vikas jain,/vikasjain2004,"May 2, 2018",2018-05-02T02:14:55.000Z,#EkAurJhoot    #cscfraud,,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Ummar Farooq ,/Ummarsd,"Jun 11, 2018",2018-06-11T16:07:14.000Z,Day after tomorrow we will release a documentary regarding PMGDISHA how it is Implemented in Karnataka             #cscfraud,,2,1,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Ashraf Ali,/BHAFoundation,"Jun 23, 2021",2021-06-23T17:23:44.000Z,"#CSCFraud   by the support of  #GOI .
  Please process the refund if you can't provide a CSC ID otherwise I'll lodge an FIR against you.               
Mr. Dinesh Tyagi, I'm not satisfied with your reply. It's not reality.",,,2,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,la loba,/_jester09_,"Aug 29, 2013",2013-08-28T19:03:06.000Z,Here at  #VMworld  waiting on muh comrades.   #CSCFraud,,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Suresh Kumar,/sureshKumarDEO,"Oct 18, 2021",2021-10-18T08:57:11.000Z,"CSC एक भ्रष्ट संस्था है
  #cscfraud    #cscbarasat",,,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Suresh Kumar,/sureshKumarDEO,"Oct 18, 2021",2021-10-18T08:55:16.000Z,Csc एक भ्रष्ट  संस्था है   #cscfraud    #cscbarast,1,1,1,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,KidsRule,/sf99er,"Sep 16, 2012",2012-09-16T06:39:08.000Z,  What is  #Dreamforce  doing with companies that facilitate torture?  #CSCSucks    #CSCFraud   I'm not knockin  #salesforce  but  #CSC  = 8(,,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Vikas Jangra,/vikasjangraji,"Mar 18, 2018",2018-03-18T03:44:34.000Z,"#CSC    #CSCFraud    #CSCScam 
        ",,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Vikas Jangra,/vikasjangraji,"Mar 17, 2018",2018-03-17T07:25:24.000Z,Please Check this Out for  #Employement  Reality in  #Haryana .   #CSCFraud    #CSCScam   #CSC,,1,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Vikas Jangra,/vikasjangraji,"Mar 17, 2018",2018-03-17T03:52:45.000Z,#CSCScam    #CSCFraud   ,,,,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Dhiraj Mishra,/dhirajiiht,"Dec 14, 2018",2018-12-14T01:40:05.000Z,कुछ भी नही होगा क्योंकि बिहार में बहार है नीतीशे कुमार है।पूरे बिहार में   का क्या स्थिति है वो किसी से छुपा नही है जो भ्रष्ट है उसका सेंटर पे सब सुविधा मिलेगा और जो ईमानदार है उसको ऐसे ही डराया धमकाया जाता है।कोई सपोर्ट नही मिलता।   #cscfraud,,1,2,AEPS
https://twitter.com/search?q=%23cscfraud&src=typed_query&f=top,Lallu Ram,/lalluram_news,"Dec 4, 2018",2018-12-04T14:19:19.000Z,"नान घोटाला मामले में ईओडब्ल्यू जल्द पेश करेगी पूरक चालान, दो आईएएस अधिकारियों को पेशी का नोटिस जारी  #Scam    #CSCFraud    #CSCScam   #CSC   #ChhattisgarhNEws   #Chhattisgarh        ",,1,1,AEPS
