search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,CSCeGov,/CSCegov_,Oct 1,2023-10-01T08:33:25.000Z,"अब दुगुनी सुरक्षा बढ़ाएगी AePS की ताकत...

2 स्टेप बायोमैट्रिक और ओटीपी वेरिफिकेशन के साथ अब हुआ आधार से पैसे निकालना और भी सुरक्षित.

किसी भी प्रश्न के लिए, 14599 पर कॉल करें या helpdesk@csc.gov.in पर लिखें.

 #CSC    #DigiPay    #DigitalIndia   #DigitalInclusion   #FinancialLiteracy",30,59,289,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,Udit,/uditsharma60,Sep 29,2023-09-29T12:25:17.000Z,"DigiPay Festive Offer on DMT (Domestic Money Transfer)
Starts from 01st October to 30th November.

 #AePS   #csc    #DigiPay    #DMT   #Moneytransfer   #Festiveoffer",1,32,52,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,CSC Parivar,/CscParivar,Oct 1,2023-10-01T09:37:12.000Z,"अब दुगुनी सुरक्षा बढ़ाएगी AePS की ताकत...

2 स्टेप बायोमैट्रिक और ओटीपी वेरिफिकेशन के साथ अब हुआ आधार से पैसे निकालना और भी सुरक्षित.

किसी भी प्रश्न के लिए, 14599 पर कॉल करें या helpdesk@csc.gov.in पर लिखें.

 #CSC    #DigiPay    #DigitalIndia",4,4,61,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,CSC Parivar,/CscParivar,Sep 2,2023-09-02T11:36:58.000Z,"Great News!!

Iris is now LIVE on DigiPay Lite Application...

For any queries, call us on 14599...

 #CSC    #DigiPay    #DigitalIndia   #RuralEmpowerment   #DigitalInclusion   #FinancialLiteracy   #FinancialInclusion   #DigiPayLite   #Iris",11,3,30,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,Sone Lal Sah,/SonuKum57627457,Jun 7,2023-06-07T16:16:17.000Z,"Hello   #DigiPay   Users,
We are launching our new DigiPay Android and Laptop version with new features. Also we have handled all the issues in the previous versions. So be ready to install the new version with new features.
    ",,2,6,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,CSC SPV BALASORE,/CscSpvBalasore,Jul 25,2023-07-25T16:04:40.000Z,"Good News for All VLEs. Micro ATM Device is available now on CSC Grameen eStore application. Now all VLEs can start orders.
  #Digipay  
 
 
            ",,2,8,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,Danish Nazir Bulla,/danishnazirb,Jul 13,2023-07-13T12:15:13.000Z,"A Session on DigiPay and DigiPay Lite Application...

  #DigiPay   Par Charcha...

Join us LIVE on the  #CSC  Facebook Page, on 14th July (Friday) at 4 PM.

 #DigitalIndia   #RuralEmpowerment   #DigiPayParCharcha   #DigiPayLiteApp",,1,3,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,CSC Bihar,/CSCBihar_Govt,Jul 10,2023-07-10T07:38:35.000Z,"DigiPay - A New Way to Digital Banking...
Here are some of the services every VLE should provide at their  
-Cash Withdrawal
-Mini Statement
-Balance Enquiry
-Iris Transactions Enabled
-Micro ATM Transactions
-Domestic Money Transfer
-Wallet Top-Up
  #DigiPay    #DigitalIndia",7,3,13,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,CSC Meghalaya,/CSCMeghalaya,Jun 24,2023-06-24T17:49:06.000Z,"Be a Banker in your area through Digipay Banking Service.

  #Digipay  
@CSC",,3,9,Others
https://twitter.com/search?q=%23digipay&src=typed_query&f=top,CscSpvMayurbhanj,/CSCSPVMBJ,Jun 8,2023-06-08T04:24:45.000Z,"Hello   #DigiPay   Users,
We are launching our new DigiPay Android and Laptop version by tomorrow with new features. Also we have handled all the issues in the previous versions. So be ready to install the new version with new features.
",,,1,Others
