search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,(𝕏)Kiran,/moneybizines,Sep 27,2023-09-27T06:13:56.000Z,"Actually
  #DigitalBharat  
 #UPI",,,,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,Bollywood Legacy Channel,/LegacyChannel_,Sep 22,2023-09-22T02:30:29.000Z,"#Tiger3  How Many Of You Believe That A Big   #SalmanKhan  Franchise Film Series Doesn’t Require Any Un-Wanted Cameos From New In Line Wannabe Action Star  #PollOfTheDay  

Voting On For   #DigitalBharat   ",2,5,6,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,Vamshi Victory,/VamshiVictory,6h,2023-09-28T05:39:33.000Z,"Day 3

  

PLEASE REMOVE CONVENIENCE FEE for UPI based transactions.

 #NCFRailways 
 
 
 
  #digitalBharat",,,,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,DigitalDesh,/digitaldeshin,"Nov 12, 2021",2021-11-12T04:30:47.000Z," Finally, the wait is over! Launching Digital Desh Drive 9.0 Report on 18th November'21, Thursday. 
 
 #digitaldesh   #MSMEs   #smallbusiness   #launch   #NowFloats   #atmanirbharbharat    #DigitalBharat    #COVID19   #pandemic",,4,6,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,Vaibhavraj Mali,/vaibhavraj_mali,"Jun 1, 2020",2020-06-01T15:50:18.000Z,"Technology | Equipment | Way of Thinking
◆ Enough For Secure OurSelf ◆
 #Security    #DigitalBharat    #IoT",,2,1,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,the style; say's,/tanay_style,Sep 19,2023-09-19T10:49:40.000Z,"Hey     &       please do notify me as reached    #AirFiber  at  #RajkotGujarat 
  #DigitalBharat    #NewBharat",1,,,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,Bharatgas_Goa,/BPCLGoa,"Aug 1, 2020",2020-08-01T07:34:58.000Z,Bharatgas booking and payment has become so simple now..with lot of digital options..do you want try this?   #digitalbharat    #DigitalIndia        ,,2,5,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,Dialogue,/DialogueSamvaad,"Apr 26, 2020",2020-04-26T14:27:50.000Z,"#23rd  talk in  #LockdownLectureSeries 
Prof. Abhay Karandikar, Director,   
' #Frugal   #5G - Towards Inclusive Affordable  #Broadband  for a new   #DigitalBharat  '
Monday, 27 April 2020 @ 5.00 PM
       
   
  ",,117,111,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,Vedas Dei,/dcd1996,"Mar 24, 2022",2022-03-24T06:32:40.000Z,"We in Bharat have Digilocker and mAadhar since at least 5 years now.   #DigitalBharat  
    @Doxotaxel     ",,1,3,Others
https://twitter.com/search?q=%23digitalbharat&src=typed_query&f=top,State Bank of India,/TheOfficialSBI,"Jul 1, 2020",2020-07-01T09:45:04.000Z,"This   #DigitalBharat   anniversary, pledge to  #GoDigital  and become  #Atmanirbhar .   #DigitalBharat    #AtmaNirbharBharat   #NPCI   #5YearsOfDigitalIndia",5,18,115,Others
