search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,Rajeev Chandrasekhar ,/Rajeev_GoI,Sep 21,2023-09-21T05:00:05.000Z,"Skill India Digital is aimed at delivering  #skills  for the  #digital  domain to foster  #entrepreneurship  and create a future-ready  #workforce .

 #SkillIndia    #DigitalIndia    #SkillIndiaDigital 
  ",8,430,591,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,BJYM,/BJYM,18h,2023-09-27T17:12:32.000Z,"A glimpse into  's First Social Media Summit ~

In the era of   #DigitalIndia   led by PM Shri  , social media emerges as a game-changer in shaping our nation's political landscape and society. 

Here, passionate BJYM members united, ready to navigate the…  Show more",8,91,194,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,MyGovIndia,/mygovindia,Sep 21,2023-09-21T06:06:58.000Z,"Watch Now!

Discover how small vendors are transforming their financial future through Financial Inclusion and  #UPI , saving money and securing their dreams.

 #FinancialInclusion 
  #DigitalIndia",4,45,118,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,Innova Systems,/innovaindia,Sep 27,2023-09-27T10:46:25.000Z,"We are delighted to  announce a momentous milestone that ushers in an exciting new chapter in our partnership with Tata Tele Business Services. 
 #InnovaSystems   #TataTeleServices   #Telecommunications   #TataGroup   #Connectivity   #TechNews   #InternetService    #DigitalIndia",,1,2,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,The Times Of India,/timesofindia,Sep 25,2023-09-25T15:19:42.000Z,".  (MD & CEO, Tech Mahindra) talks about how the government is working towards making  #MakeInIndia  a reality.

 #innovation   #toi   #timesofindia   #techsummit2023   #righttoexcellence   #ai   #auto   #technology    #digitalindia    #digital   #artificialintelligence   #5G",,4,15,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,Kodineya Surender Sharma,/SKodineya,Sep 22,2023-09-22T02:01:17.000Z,"#Swiftly   #share   #transparent  &  #reliable   #information  across  #Apps  with  #APISetu 
 #Know  more at  
  #Digitalindia  
 #NewIndia 
 #IndiaTechade 
 #DigitalMarketing 
 #DigitalTransformation 
 #HamaraAppNaMoApp 
 #ModiHaiToMumkinHai 
 #ModiForNariShakti 
 #Modi4PM2024 
 #Modiji 
",1,17,19,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,J.B. Institute of Engineering & Technology,/CollegeJbiet,21m,2023-09-28T11:20:18.000Z,"Glimpse  of SMART INNOVATION HACKATHON 2023. Day 1 and Day 2 Activities  at JBIET.

 #JBIET   #JBIT   #SmartIndiaHackathon   #SIH2023   #Innovation   #codingchallenge   #InnovationatJbiet   #Reward    #digitalIndia    #create   #hack  @jbietiii",,,,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,Ministry of Electronics & IT,/GoI_MeitY,Sep 26,2023-09-26T05:59:32.000Z," Always keep your  #Aadhaar  updated! You can upload Proof of Identity and Proof of Address documents online at   Free of Cost till December 14, 2023.

 #AadhaarUpdate   #UIDAI    #DigitalIndia     ",1,8,18,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,RJ ARYAN,/rjaryan_,23h,2023-09-27T12:29:36.000Z,"PM   today explored the Robotics Gallery at the Gujarat Science City, showcasing the immense potential of  #robotics . Take a look!

  #DigitalIndia    #VibrantGujarat   #VibrantGujaratSummit   #20Years  Of Vibrant Gujarat
      ",,,,Others
https://twitter.com/search?q=%23digitalindia&src=typed_query&f=top,Ajay Kumar,/ajayalen,23h,2023-09-27T12:28:57.000Z,"Digital India is not just a campaign anymore —  it has now become the nation’s collaborative responsibility. During PM Modi's visit to the Gujarat Science City, a robot served him tea, showcasing the transforming digital landscape of India.
  #DigitalIndia    #PMModi",,,1,Others
