search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Canara Bank,/canarabank,Sep 19,2023-09-19T02:30:00.000Z,"Life got so easy with Doorstep Banking!  
We are delighted to announce the extension of   #DoorstepBanking   Services Campaign till 30th Sept. 2023. Service charges waived for up to 3 doorstep banking services during the campaign for all senior citizens. *T&C apply.    

 #CanaraBank",5,13,38,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Ministry of Finance,/FinMinIndia,"Sep 9, 2020",2020-09-09T11:37:09.000Z,"Finance Minister Smt.   launched PSBs   #DoorstepBanking   Services! Improved access for hassle-free and convenient Banking. A citizen friendly initiative!

FM also declared EASE 2.0 Index results.

 #EASE    #DoorstepBanking    #PSBReforms",139,194,848,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Ravindra Pandey,/ravindra361962,"Apr 9, 2020",2020-04-09T06:45:50.000Z,"The financial soldiers of SBI marching on, making sure that pensioners get their money at their doorsteps..            #कोरोना_हारेगा   #राजस्थान_सतर्क_है    #DoorStepBanking",2,12,39,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Ravindra Pandey,/ravindra361962,"Apr 20, 2020",2020-04-20T07:43:42.000Z,CSPs of SBI in Rajasthan enabling the citizens to follow the  #StayHomeStaySafe  mantra by providing uninterrupted banking services at their door-steps.            #Rajasthan    #DoorStepBanking,,13,39,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Vijuy Ronjan ( Neehar ),/VijuyRonjan,"May 4, 2021",2021-05-04T12:14:35.000Z,Your all banking needs can be taken care while you remain at home. SBI has the most robust  #OnlineBanking  system /  #DigitalPlatform  and also provide   #Doorstepbanking   . Please stay safe at home and avail safe & hassle free banking services from SBI.  #SBIYono   #StayHomeSaveLives,4,22,52,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Mr. Tyagi,/write2amittyagi,"Oct 24, 2020",2020-10-24T03:50:51.000Z,"It was indeed a JUMLA only & there are no ACHE DIN for PSB Employees..... Waiting for their legitimate wage revision which is pending for more then 36 months  #5DaysBanking   #BankersFeelCheated   #BankersNotRobot 
 #DigitalBanking 
  #DoorStepBanking",,2,3,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Newton Bank Kumar,/idesibanda,"Sep 10, 2020",2020-09-10T17:39:54.000Z,"Developer of  #DSB   
  @DebasishPanda87

Service charges details not shared for   #DoorStepBanking   on Portal. Hope it would be equal to ZOMATO charges.

How can be 2 Answers of same Ques?
Q: Is there any Cancellation charges?

Yes.                        No",5,51,47,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,MoneyManch,/Moneymanch,"Dec 18, 2018",2018-12-18T01:18:38.000Z,Doorstep Banking: India Post Payments Bank ( #IPPB ) -  #MoneyManch   #banking   #bank   #money    #Doorstepbanking   ,1,4,9,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,TFAAAP,/tfaaap,"Mar 6, 2021",2021-03-05T22:17:59.000Z,open the door as they say   (2019)  #doordash   #doorknob   #door    #doorstepbanking    #doors   #DoorstepDeliveryOfServices,,2,5,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,कटु सत्य,/Katusatya6,"Sep 9, 2020",2020-09-09T13:33:22.000Z,"#9Baje9Minute   #9बजे9मिनट 

Open recruitment/Create Posts in Public Sector Banks for this   #DoorStepBanking   rather than taking back door services from private companies !!",,39,28,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Sonal Agrawal,/sonalagrawal237,"Apr 17, 2019",2019-04-17T05:43:02.000Z,"Standing in  #queue , making multiple visits to  #bank  branch and spending one fifth of their old age pension on travel has become a thing of the past for people like Phul Chandra and Kushi Devi in  #Bihar  because of    #bank  sakhis   #Doorstepbanking   ",,3,9,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,State Bank of India,/TheOfficialSBI,"Jul 24, 2021",2021-07-24T05:30:00.000Z,"Your bank is now at your doorstep. Register for doorstep banking today!
To know more:  
Toll-Free no. 1800 1037 188 or 1800 1213 721
  #DoorstepBanking    #DSB   #Banking   #StayAtHome   #SBIAapkeSaath",23,14,104,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,Amar Sareen,/sareenamar,"Sep 1, 2018",2018-09-01T04:32:11.000Z,"Excellent initiative of   Government  towards   #DoorstepBanking   . PM  to launch India Post Payments Bank on September 1  #SaafNiyatSahiVikas   #TransformingIndia   #ModiFor2019 
 

via NaMo App",,4,2,AEPS
https://twitter.com/search?q=%23doorstepbanking&src=typed_query&f=top,$PIN_BOUT_U...47,/STEPHANZAIL,"Feb 12, 2021",2021-02-11T20:12:02.000Z,Administration   walked into a slammin' door November 4th   Pacific mountain Time...   #doorstepbanking,,1,1,AEPS
