search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Nikhil Manilal Gada,/NikhilGada6,"Aug 16, 2021",2021-08-16T05:53:41.000Z,"            #icicifastag    #NETCFASTag               
Occurrence of Fraud in Fastag, Car is in  #RJ , but swipe in  #MH  different tolls. (1/2)",2,1,1,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Amit Agrawal ,/amit_pcb,"Apr 10, 2021",2021-04-10T07:53:25.000Z,"         #NETCFASTag     

PAID 3 TIMES TOLL FOR A SINGLE ENTRY
Toll person told us low balance and charged cash Rs.30/- 
Also PayTM charged ₹15.0 - Paid at Duhai - Lane Name : 17 - 8 APR, 1:24 PM - UP14CR8100 - 9810139334",2,,,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,आशिष केलो | Ashish Kelo,/ashishkelo,Jan 13,2023-01-13T03:25:19.000Z," Bug in your system. Does not accept BH reg. no. for the new fast tag and your customer service dept. is not helpful. Such a lousy state of service.

   
 #ICICIBank   #FastTag   #BHRegistration    #NETCFastag",1,2,,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Laxman Dekanal,/LDekanal,"Nov 18, 2020",2020-11-18T09:30:32.000Z,"I have recharged Rs.4000 to  #icicifastag  on 19th oct 20. amt debited frm   a/c but not credited to fastag, still making follow up with  #icicifastag  fr refund,its scam. pls help   ji.
Cust Id :12115095.
 #FastTag 
 
 
  #netcfastag",1,,,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Harish Kuolkhere,/HarishKuolkhere,"Mar 3, 2021",2021-03-03T04:01:09.000Z,       Discussion is going in Twitter DM frm last 3month bt thy are nt giving proper response to my query. Thy are just sending pre-recorded msgs & giving fake assurance that thy help me.  #patheticservice   #airtelfastag    #netcfastag,2,,,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Seekho Kuch ,/sk240524,"Jul 22, 2021",2021-07-22T16:36:15.000Z,   sirs this kind of infograph is useless unless it is compared to a previous day/month similar metric. The sender is wasting his time    #aeps   #bhimupi   #imps    #netcfastag,,,,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,NICT Technologies Pvt. Ltd.,/NICT17007588,"Jul 7, 2021",2021-07-07T11:46:05.000Z,"Become a NICT FASTag Agent Today - 

Contact us - rfid@nict.ind.in

  #NETCFASTag    #FASTag 
 #NICT   #NICT_Technologies_Pvt_Ltd",,,1,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Republic News India,/RepublicNewsIn1,"Aug 4, 2022",2022-08-04T13:00:46.000Z,डिजिटल    #ai   #bharatpay   #bhim   #digitalpayment   #iitkanpur   #imps   #ml    #netcfastag    #npci   #rupeycard   #upi,,1,,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Karur Vysya Bank,/KarurVysyaBank_,"Dec 30, 2020",2020-12-30T13:03:29.000Z,"Quick and easy recharge with FASTag!

Get your FASTag with KVB now! -  
 #KVB   #KarurVysyaBank   #Bank   #Banking   #OnlineBanking   #Loan   #FASTag   #DistanceOkPlease    #NETCFASTag    #TollPayments",,1,12,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,Bizz Buzz,/BizzBuzzNews,"Sep 1, 2022",2022-09-01T18:27:58.000Z,UPI deals value at Rs.10.73 lakh cr in Aug  #UPI    #NETCFASTAG    #NCPIframework   #NPCI,,,,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,NICT Technologies Pvt. Ltd.,/NICT17007588,"May 6, 2021",2021-05-06T11:41:58.000Z,"Benefits of FASTag - 

Now Recharge your NETC FASTag from anywhere, anytime with NICT -

Contact us - rfid@nict.ind.in

  #NETCFASTag    #FASTag   #Benefits_Of_FASTag 
 #NICT   #NICT_Technologies_Pvt_Ltd",,,1,NETC_Fastag
https://twitter.com/search?q=%23netcfastag&src=typed_query&f=top,CBC Gorakhpur,/gorkahpur,Jul 12,2023-07-12T09:35:05.000Z,"अब लंबी टोल बूथ की कतारों से छुटकारा!   

एनईटीसी फास्टैग के साथ हाईवे पर बिना रुकावट टोल बूथ को करें पार और सफ़र का आनंद उठाएं!   
 #TuesdayTrivia 
  #NETCFastag  
 #HighwayFreedom 
      ",,,,NETC_Fastag
