search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,☆ 𝗔𝗦𝗛𝗟𝗘𝗬 𝗣𝗨𝗥𝗗𝗬 ☆,/AshleyPurdy,7h,2023-09-26T02:09:54.000Z,Looks like Brock Purdy has a score to settle     #NFC   3-0   / ,2,1,15,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Ryan,/Twelve21KickIt,22h,2023-09-25T11:44:15.000Z,The Final Week Of Fantasy Baseball Is Going To Be Intense... For The Championship! INSTANT CLASSIC .5PTS BACK  #FantasyBaseball    #NFC    #NFBC50s,,,,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Bobby G.,/GameTime_BobbyG,Sep 20,2023-09-19T19:02:27.000Z,"It's that time folks!!!! As we do every Tuesday at Noon, the  #GameTime216  Top 10 teams of the week!!! Enjoy!!    #NFL   #AFC    #NFC    #Top10   #GT216   #football",,10,11,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,saint obi.,/therebelandre,Sep 25,2023-09-24T19:24:07.000Z,"this is why industry pipo don't like   #nfc  ..

una too get bad mouth.. ",8,4,2,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,GMTA Software Solutions Pvt Ltd,/GmtaSoftware,Sep 18,2023-09-18T07:50:31.000Z,"As the environment of digital banking shifts in 2023, several excellent NFC payment applications have strengthened their positions by accelerating payments and shielding them from potential threats.

 #gmtasoftware ,  #best ,  #secure ,   #NFC  ,  #Payment ,  #Apps , #2023",,,2,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,ChiaPet31,/Chiapet33,18h,2023-09-25T15:36:23.000Z,"Ladies and Gentlemen,   Top 10 QB, maybe top   #NFC   QB according to him, THE DAK PRESCOTT. What a joke, But Nick decided to focus on Jimmy G losing instead of Dak & The Prince cause u know thats what ppl do when they want to AVOID THE MASSIVE L THEY TAKE  #FirstTake",,,,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,FootballXWorld ,/FutbolXMundo125,Sep 20,2023-09-19T18:46:41.000Z,"FULL TIME 
 AC Milan 0 -  Newcastle 0
Draw in San Siro after a lot of clear chances of both teams , the group of death is going to be so hard.
 #ACMNEW   #ACMilan   #nunca   #newcastle    #nfc    #uefachampionsleague",1,,1,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Bella’s Bench,/iambellacruise,Sep 25,2023-09-24T20:13:48.000Z,"When I produce my first feature, I’m inviting   #NFC   people to a private screening. No way I’m letting y’all drag me in public.",5,3,7,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 18,2023-09-18T15:04:04.000Z,"Our Home Jersey for the 2023/2024 season.

Winning Is From Within    
 #NationsFC    #NFC    #Abrankese   #betpawa   #betpawapremierleague",4,34,321,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,halfmoon | Robert,/BerlinHalfmoon,Sep 23,2023-09-23T14:54:01.000Z,#defichain    #nfc   let's go ,,1,29,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 24,2023-09-24T16:57:49.000Z,"| 90’ FULL-TIME 

A Clean sheet and
a first home victory 
  #NFC    [2-0]  #FCS  ",2,7,125,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 24,2023-09-24T15:08:15.000Z,"| 1’ KICK-OFF 

The referee signals us into action.  
  #NFC    0-0  #FCS",,2,24,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Eric (,/Eric_4152,Sep 19,2023-09-19T02:02:49.000Z,#VeChain ’s Vision: Bridging the  #Physical - #Digital  Divide with   #NFC   and  #NFT,3,11,50,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Kyrell Onana,/xannycasper,Sep 22,2023-09-22T16:09:33.000Z,"Eddie Howe: “I want Tonali to be himself, is an outstanding technician, a very good athlete. We need to give him time”. 

“There is no doubt we can get the best out of him. We need to be patient with Sandro”.

  #NFC",,,,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 19,2023-09-18T19:14:19.000Z,"Our Away Jersey for the 2023/2024 season.

Winning Is From Within    
 #NationsFC    #NFC    #Abrankese   #betpawa   #betpawapremierleague",2,38,391,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Pudgy Boyz Sports Talk,/Pudgyboyzsports,Sep 17,2023-09-17T15:18:02.000Z,Let’s go Giants get to 1-1 and right the ship!  #nyg   #giants   #bigblue   #bigbluenation   #gmen   #nygiants   #nygvsari   #arizona   #glendale   #roadgame    #nfc    #nfl   #youtube   #podcast   #sportstalk   #giantspride   #begiant   #nygiantsfan   #righttheship   #bigbluewreckingcrew,,,,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,LionsDiehards,/LionsDiehards,Sep 25,2023-09-24T19:59:49.000Z,"Many Stats, Big w
 #lionsdiehards   #Lions   #nfl   #detroit   #nfldraft    #nfc    #nfcnorth   #campbell   #offense   #football   #DetroitLions   #OnePride   #nflfantasy   #fantasyfootball   #goff   #jaredgoff   #jg16   #dancampbell   #stbrown   #hutchinson",,1,2,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,RFNFT® - Merging Physical & Digital worlds via NFC,/CBG_RFNFT,14h,2023-09-25T19:24:36.000Z,"RFNFT Tags, Merging the Physical & Digital Worlds 

These are our Digital Twin shirts, each embedded with a 'Encrypted Key' tag which holds the Digital Twin / Metaverse playable version of the Kit

The RFNFT tag can also prove ownership of the NFT and allow for token gating

  #nfc",,,1,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 19,2023-09-19T09:58:04.000Z,"G D  M RNING!  

Winning Is From Within    
 #NationsFC    #NFC    #Abrankese   #betpawa   #betpawapremierleague",1,14,216,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 24,2023-09-24T15:48:57.000Z,"| 45’ HALF-TIME 

We go into the break the better side.

  #NFC    [1-0]  #FCS  ",3,6,154,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 24,2023-09-24T07:15:50.000Z,"𝐌𝐀𝐓𝐂𝐇 𝐃𝐀𝐘   

Winning Is From Within    
 #NationsFC    #NFC    #Abrankese   #betpawa   #betpawapremierleague",,7,67,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Ereezy,/ErikVReeves,Sep 18,2023-09-18T03:28:11.000Z,COWBOYS WIN! 30-10  #COWBOYSNATION   #dallascowboys     #nfl     #football   #cowboys   #wedemboys   #wedemboyz    #nfc   ,,,,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,HCCTG POS PDA,/szhcct,Sep 22,2023-09-22T01:38:55.000Z,"#HCCTG   #ACR1251U 

Are you tired of the hassle of traditional  #CardReaders ? Do you wish for a  #Smarter ,  #Faster , and more  #Versatile  solution? Let's give it a look of our     #USB  Common Access   #NFC   Contactless  #SmartCardReader  ACR1251U !",1,,,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,NFL Tips 4 U,/ForNfltips,20h,2023-09-25T13:51:27.000Z,"#MNF  second game sees defending   #NFC   champions   up vs  , both unbeaten, should be a good one & here is our 4/1 bet builder hit   if you’re playing along  #NFL   #NFLTips   #GoBucs   #FlyEaglesFly",,1,3,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Germanium Inc,/germaniuminc,Sep 17,2023-09-17T08:24:53.000Z,Grow your business with  #germaniuminc  a leading  #SoftwareDevelopment  company.  #marketing   #digitalmarketingagency   #ERPSOFTWARE   #MOBILEAPP   #MakeInIndia   #GUJARAT   #HappyBdayModiJi   #AI   #AiArtSociety   #NarendraModiji   #QR    #NFC,2,,1,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 24,2023-09-24T16:27:37.000Z,"|63’ GET IN 

Amidou Diarra doubles the lead for us.  
  #NFC    [2-0]  #FCS  ",,1,32,Contactless
https://twitter.com/search?q=%23nfc&src=typed_query&f=top,Nations Football Club,/nationsfcgh,Sep 24,2023-09-24T15:22:58.000Z,"| 20’ GOOOAL 

 #Barimah  Baah  with brilliant effort to record our first goal in the Premier League. 
  #NFC    [1-0]  #FCS  ",1,4,61,Contactless
