search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Tanish Chaurasia,/ft_Tanish,"Aug 11, 2022",2022-08-11T07:17:11.000Z,"Assist?? When??
I'm not getting any any further response from Paytm side!
                   #Paytm   #paytmdown    #paytmwallet    #Wallet   #CustomerService   #compensation   #India",,2,1,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,भारत आत्मज ,/Kamal4Bharat,"Apr 15, 2020",2020-04-15T06:40:23.000Z,"    , have you officially stopped access to   #PaytmWallet   as a payment source on Paytm app?
If so, isn't it a business malpractice?
Why can't then we just call-out your 
  bluff and move on to 
  or  #Phonepay ?

",1,,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,anil kumar ravuri,/ravuriak,"Jun 23, 2018",2018-06-23T10:17:43.000Z,       Transferred 21.1K from my   #paytmwallet   to savings account. Amount deducted but wasn’t credited to my account. Its been 3days. No one is reponding for my queries. Txn id and query ref # are DM’ed as requested.  #PayTM . Pls escalate.,2,1,2,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Pranab K. Mookerjee,/PMookerjee,Sep 19,2023-09-19T09:26:18.000Z,What is the guarantee that Cashback Points can be redeemed to add cash directly to   #PaytmWallet     App? Why Cashback redemption for wallet-cash not very transparent?  #VijayShekharSharma  - CEO ,2,1,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Careerkarts,/careerkarts,"Jul 11, 2019",2019-07-11T04:54:35.000Z,"5 Lucky Candidates will be eligible to get Flat Rs. 50
Cashback in Paytm wallet.
 Just SignUp/Register on:   and Get a Chance to win Rs. 50 Cashback in Your Paytm wallet.

 #Cashback   #Paytm   #CompetitiveExams   #reasoningability   #career    #Paytmwallet",,,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Govind Singh ,/mr_govindsingh,"Dec 10, 2022",2022-12-10T15:48:28.000Z,"Hey   

I was able to use   #PaytmWallet   earlier bit j don’t know what went wrong and i lots the wallet access. I am trying from couple of months but still getting this. May i know when it will be re-activated or available for me?",1,,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Activist ,/ActivistOnjob,"Jun 7, 2018",2018-06-06T19:43:32.000Z,", #Beware 
 #WalletUsers   
  made a mistake of using 
 #Paytm    #PaytmWallet   nd nw hvng  #sleeplessnights  .
 #FIR  wt  #delhipolice    +  #326 remindr  #Tweets  , still no  #moneyback .
 #DigitalIndia 
 #DigitalTransformation 
 #DigitalWallet 
 #FintechMafia 
 #RT",1,3,2,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,gaurav kumar,/gaurav2meetu,"Mar 23, 2018",2018-03-23T09:20:21.000Z,"Done kyc for  paytm wallet with ur agent,and got d msg, congratulations for opening paytm account with us.who has authorized u to open this.ur agent Nistha is with them in saket pvr market. #Paytm    #paytmwallet    #renusatti",4,2,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Faiz Abbas Rizvi,/techsahab,"Jan 8, 2019",2019-01-08T07:53:03.000Z,Rubbish Experience With   money deducted from bank but not received in   #paytmwallet   and no reply from    waiting since 2 hours but all are busy!,2,1,1,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,anil kumar ravuri,/ravuriak,"Jun 23, 2018",2018-06-23T07:48:22.000Z,       Transferred 21.1K from my   #paytmwallet   to  #paytmbank  savings account. Amount deducted but wasn’t credited to my account. Its been 3days. No one is reponding for my queries. Txn id 19368283437 and query ref #72063789. Pls escalate  #PayTM,1,1,2,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Sunil Kumar Payak,/sunilkumarpayak,"Sep 18, 2020",2020-09-18T12:04:26.000Z,"Me who has ₹15 in his   #Paytmwallet   after hearing the news of Google removing the app from playstore.
 #PaytmRemoved",,,1,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Mihir,/Mihir_tweets,"Jan 13, 2019",2019-01-13T03:16:10.000Z,for a glance i thought it said    and then I was... yaar ab ye bhi karwaoge inse.. i mean khud he khelo and khud he jeeto and best is   #Paytmwallet   cash mein paise bhi khud ka he rakho :P,,,1,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Vikas Aarya,/ervikaskuarya,"Dec 17, 2021",2021-12-17T16:34:08.000Z,"#Paytm    #paytmwallet   
I haven't done any payment still a lot of amount deducted from my paytm wallet. How this happened. Even i tried to contact your customer care but no response. I want my money back. This transaction done without UPI. It's hilarious. No security from your side",2,,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,anil kumar ravuri,/ravuriak,"Jun 23, 2018",2018-06-23T07:46:09.000Z,     Transferred 21.1K from my   #paytmwallet   to  #paytmbank  savings account. Amount deducted but wasn’t credited to my account. Its been 3days. No one is reponding for my queries. Txn id 19368283437 and query ref #72063789.  #paytmkaro   #PayTM . Pls escalate.,,1,2,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Priyanshu Pandey,/ipriyanshu4,"Oct 17, 2020",2020-10-17T17:16:43.000Z,"Now this is when we STOP using   wallet  

Thank you for all the hassle-free services you have provided with   #PayTmWallet  ’s quick transactions.",1,1,2,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Raj,/rajpriya_neeraj,"Mar 6, 2018",2018-03-06T16:41:48.000Z,"The hell with  #Paytm , so to hell with   #Paytmwallet   and their way to link it.
Visited 7places from the below list to link aadhar with Paytm wallet. All said they don't do. So dear  #paytm  we are not beggars other wallets are their. If u can't make a proper way thn dn't act smart.",,,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,worknrby.com,/worknrby,"Nov 23, 2019",2019-11-23T08:30:15.000Z,"Make your  #job  search more pleasing. Now, make money by referring  #Worknrby  to your friends.
Read the full article.  
 #CreateCv   #JobVacancies   #PaytmCashback    #PaytmWallet    #ReferAndEarn   #GetHired   #ReferYourFriend   #BeRewarded   #WorknrbyBlog",,,,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Prime Captain,/PrimeCaptain1,"Jul 10, 2020",2020-07-10T05:16:23.000Z,"Big Announcement 
Your waiting is over now.
 Are you ready for it? 
.
PAYTM WALLET  is active now.
.
PrimeCaptain has finally activated on your request. Now take full advantage of the PAYTM wallet.
.
 #Paytm    #PaytmWallet    #PrimeCaptain   #Withdraw   #Deposit   #paytmmoney   #paytmkaro",2,4,7,Payment_Wallets
https://twitter.com/search?q=%23paytmwallet&src=typed_query&f=top,Ajesh Kumar N K,/AjeshKumarNK,Aug 15,2023-08-15T08:50:25.000Z,"Thank You Paytm!
Touching one's life with a solution to the problem called 'real business'. 
Socially Responsible and Economically Viable activity called 'real business'. 

     #Paytm    #PaytmWallet    #Business",,4,1,Payment_Wallets
