search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Sudipta,/ghosh1s,Oct 15,2023-10-15T09:31:02.000Z,Dear   please investigate and give heavy penalty to   for keeping UPI system down for days.   Last few days its down.  #sbi   #upi    #phonepe    #paytm  ,12,52,182,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Siddharth,/sidsimharaju,10m,2023-10-19T05:36:14.000Z,"Phonepe, have you thought of making the QR code to be one click away? I see cab and auto drivers struggle to access it quickly.

  #phonepe",1,1,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Debashis Murari,/DebashisMurari1,Oct 16,2023-10-15T19:30:40.000Z,Dear   please investigate and give heavy penalty to   for keeping UPI system down for days. I sent money someone and the money deducted from my account but the person didn't get the money.   Last few days its down. #sbi   #upi    #phonepe    #paytm   #googlepay,3,14,16,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Mint,/livemint,Oct 17,2023-10-17T08:42:15.000Z,"#MintLongStory  |   #PhonePe   started offering payment aggregator services earlier this year, and at an opportune time.

After issuing guidelines to regulate payment aggregators in 2020,  #RBI  granted in-principle approval to several companies to operate in February 2023.

Read here:…",1,,5,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Bujji gadu,/imkingkalyan,Oct 14,2023-10-14T13:24:51.000Z,"Hey prabhu  
  #phonepe",,1,1,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,PhonePe,/PhonePe,Oct 16,2023-10-16T05:57:25.000Z,"Don't have to run away from expensive hospital bills anymore. Instead, get Health Insurance on   #PhonePe   

For the first time, pay your annual  #HealthInsurance  premium on a monthly basis, and that too with premiums starting as low as ₹577 per month! So take it slow.",17,3,13,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,The Times Of India,/timesofindia,15h,2023-10-18T14:00:01.000Z,"#PhonePe  ’s consolidated revenues surge 77% year-on-year to Rs 2,914 crore in FY23",,,7,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,SanatanMaverick,/SanatanMaverick,Oct 14,2023-10-14T04:35:13.000Z,"This is more handy payment app than  #Gpay  and   #PhonePe   .

हातपे",2,1,9,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,PhonePe,/PhonePe,Oct 10,2023-10-10T13:54:19.000Z,"Weighed down by hospital expenses?  
Escape the stress and secure your health with affordable Health Insurance on PhonePe. 

Pay your annual Health Insurance premium monthly, Starting at just ₹577/month.  #HealthInsurance    #PhonePe",20,2,15,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Dhaval Dave,/dhavaldave605,Oct 17,2023-10-17T09:44:24.000Z,#phonepe       is this really the case? Please clarify as we are also looking for payment gateway,,,2,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Mint,/livemint,Oct 17,2023-10-17T03:31:10.000Z,"#PhonePe   is currently popular for its digital wallet & online payment app that allows one to make instant money transfers with  #UPI . However, its merchant base is almost entirely offline.

(  reports)",1,1,3,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,"Akshay Shah - Founder CEO, iWebTechno | GenZDealZ",/AkshayiWeb,Oct 14,2023-10-14T08:41:24.000Z,#PhonePe   advert girl looks copy paste from the old  #Airtel  advert na? Is she same? or has similar looks?,,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,TechGlare Deals,/Tech_glareOffl,Oct 11,2023-10-11T17:51:30.000Z,"Anyone Facing Issues with Phonepe ?

 #TinySurvey    #PhonePe",8,4,14,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Mehmood Ahmad,/Mehmood30984132,Oct 16,2023-10-16T03:19:20.000Z,"Shame on SBI.

SBI is not responding from last 2 days not a single response regarding UPI not working issue.

This is the customer service of SBI  

Not a single response till now

 #shameonsbi 
 #Shame 
 #upi 
  #phonepe  
 
 
 
",,2,3,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Dinesh,/Dinesh01041109,Oct 13,2023-10-13T04:28:25.000Z,   I have booked hotel from your website on dated 01.10.2023 and made payment of 3858.75 from   #phonepe   from that day i am trying to call your support number +918068507734 many times but no till date responde me.,,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Nikunj Panchal,/NikunjP0301,Oct 16,2023-10-16T16:10:49.000Z,"I thinks its a very very big scandal !!!! 
In all over india huge people are used ZestMoney and they also facing same issue.
 
 
 
 
 #fraud   #SCANDAL    #phonepe    #rupees",,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Nvn somra,/Nvn_somra,22h,2023-10-18T07:24:06.000Z,#PhonePe    #phonepesupport   sir my phone pay is blocked from 12-10-2023 I have submitted my all documents but not solve my issue,,1,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Moneycontrol,/moneycontrolcom,20h,2023-10-18T09:33:42.000Z,"#PhonePe   reported a consolidated  #revenue  of Rs 2,914 crore in the financial year ending March 2023, up nearly 77% from Rs 1,646 crore in FY22.

Read on  
 
 #Earnings",,2,8,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Curious Banda,/curious_bandaa,Oct 10,2023-10-10T10:54:06.000Z,"2/3: Online through 3rd party platforms like  #Policybazaar   #Ditto    #Phonepe    #Paytm  etc. This is the online way of buying insurance, where you compare and buy policies from different insurance companies on a website or an app.  #insurance   #Online",1,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Jagadesh Moorthy,/JagadeshMoorthi,Oct 12,2023-10-12T15:52:59.000Z,"This is not the first time I've faced such an issue. I have been worried about the money for the last three days unnecessarily. If they can't even update a payment info properly, then it makes no sense to use   for bank transfers at all.
 #UPI    #PhonePe    #WorstService",,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,bRb_anjan K3,/Wrongranja,Oct 10,2023-10-10T07:28:59.000Z,"Most used Apps 
 #Dream11 
 #Twitter 
 #WhatsApp 
 #Insta 
  #Phonepe  
 #YouTube 
And all",,1,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,दीपक कुमार चौधरी ,/ChoudharyDK17,Oct 16,2023-10-15T20:51:52.000Z,"#UrgentHelp 

I've paid my bill for  #flipkart 
 #AxisBankCreditCard  on 
12th October via   #PhonePe   
But unfortunately, it's NOT reflecting on my card! 

 
 
 
 
",4,1,1,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top, PROF. MADHAV,/madhav_ghodekar,Oct 16,2023-10-16T07:59:50.000Z,"#Gpay  and   #PHONEPE    BOTH....

 #Statebankofindia 
 #SBI",,,2,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Forbes Middle East,/Forbes_MENA_,15h,2023-10-18T14:42:56.000Z,"#Walmart -backed Indian digital payments firm   #PhonePe   recorded a 77% rise in its  #FY2023  consolidated revenue to $350 million amid growth in customers and new offerings. 

 #Forbes  

For more details:   ",,,1,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Vinoth KV_வினோத் கி வ,/BLUE_KVR,Oct 11,2023-10-10T20:47:15.000Z,For this  #Diwali2023   #diwali   #vijayadasami   #dhasara  don't use  #onlineshopping  and dont use  #gpay   #Paytm    #phonepe   like it..  #paycashpayback  ....,,1,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Anoop Mishra,/AnoopMi17347755,Oct 10,2023-10-10T14:16:05.000Z,Support Indian products for data security.   #PhonePe   devices are from China.,,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,mohan KRishna,/MohanMaverick99,Oct 14,2023-10-14T13:35:21.000Z,"Does anyone here find that   #PhonePe   ad girl cute ?

 #WorldCup2023 
 #INDvsPAK 
 #CricketFever",,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Great4You.in,/Great4You_in,23h,2023-10-18T06:31:26.000Z,   What is going on with my problem ? Can you reply to me   #PhonePe    #PhonePeSupport,1,1,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Vinoth KV_வினோத் கி வ,/BLUE_KVR,Oct 11,2023-10-10T20:33:20.000Z,Dear people don't purchase and use of  from  #YouTube  advertising company of  #Paytm   #gpay    #phonepe   other private advertising site and app like  #Amazon   #FlipkartNews   #snapdeal  rest of like this  #YouTube  disturbing watching video for their income frm their.,1,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Vinoth KV_வினோத் கி வ,/BLUE_KVR,Oct 11,2023-10-10T20:44:08.000Z,#paycashpayback  is useful and most possible way of business  #india  don't need  #gpay   #Paytm    #phonepe   ... bcoz we can't able to maintain our government fixed minimum balance . They debited our one day food charge by the name below minimum balance around 300 hundred per year,1,1,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Karthik Velumani,/RV2827,Oct 13,2023-10-13T02:00:12.000Z,"Hi Mr   this is our New India 
 
 #DigitalIndia   #UPI   #NAMO   #DigitalPayments   #bhim   #GooglePay    #PhonePe    #Paytm",,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Tripathi ji,/trianurag04,Oct 15,2023-10-15T09:58:19.000Z,"दिक्क़त   #phonepe   app में है शायद क्योंकि कल से ही payment नहीं हो रहा है।
  #phonepe   ",1,,3,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,Mint,/livemint,Oct 17,2023-10-17T08:44:47.000Z,"#MintLongStory  |   #PhonePe   is currently popular for its digital wallet and online payment app that allows one to make instant money transfers with Unified Payments Interface ( #UPI )

Read here: ",1,,,phonePe
https://twitter.com/search?q=%23phonepe&src=typed_query&f=top,SbiTips,/sbi_tips,Oct 17,2023-10-16T22:17:45.000Z,"How To Solve Could Not Initiate Transaction Please Try Again in PhonePe App.
 #sbibank    #phonepe    #phonepepaymentfail   #Cricket   #WorldCup2023   #UPI",,,,phonePe
