search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,Moneypitara,/mymoneypitara,"Dec 17, 2018",2018-12-17T12:27:49.000Z,#Moneypitara : How to use PhonePe App from Flipkart?:  #PhonePe    #PhonePeapp   ,1,1,2,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,FilingBuddy,/BuddyFiling,"Dec 14, 2020",2020-12-14T14:41:19.000Z,"Now file your  #Incometaxreturn  right from your phone using the  #PhonePe  mobile phone  #paymentapplication 
It was never easier.
 #taxation   #taxnews    #phonepeapp    #fileitr   #incometaxreturn   #incometax   #returnfiling   #itr   #itrfiling   #incometaxfiling   #incometaxdepartment    #phonepeapp",,,,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,Ankit Sharma,/ankits27000,"Jun 8, 2019",2019-06-08T02:21:31.000Z,"Got an electricity bill of 3000crore rupees bill .. look out man , request to    #phonepe    #phonepeapp",,,,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,Unbox Knowledge Tweets,/UnboxKnowledge,"Jan 18, 2018",2018-01-18T18:06:13.000Z,"Read more:  
 #phonepe   #phonepewallet    #phonepeapp    #phonepewallet   #phonepewalletflipkart   #phonepeflipkartwallet    #phonepeapp    #phonepeupi   #flipkartwalletoffer   #phonepewalletmyntra   #phonepewalletmyntra   #phonepeflipkart   #phonepeoffers",,,,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,Richard B. Taylor,/MRichardBTaylor,"Jun 3, 2018",2018-06-03T13:29:13.000Z,RT   RT  : Read on this site:-    #US   #India   #cricket   #BuyGold   #Gold   #Flipkart   #Flipkartoffers   #wallet   #digitallocker   #Phonepe    #phonepeApp   …,,,1,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,2YoDoINDIA News Network,/2yodoindia,Jul 24,2023-07-24T15:58:45.000Z,"How to Pay Income Tax Payment Directly from PhonePe App | Step-by-Step Guide

 #2YoDoINDIA   #IncomeTax   #IncomeTaxEFiling   #IncomeTaxIndia   #IncomeTaxPayment   #IncomeTaxReturn   #IncomeTaxReturnFiling   #ITR   #ITRFiling   #PayMate   #PhonePe    #PhonePeApp",,,,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,DailyTechByte,/daily_TechByte,Aug 5,2023-08-05T05:28:55.000Z,"How to Fix Unable to Set UPI PIN on PhonePe?

 #PhonePe   #PhonePay   #UPI   #UPIPIN   #UPIUpdate    #PhonePeApp    #PhonePayApp",,,,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,Ajay raj Meena @,/newzrajasthan,"Apr 25, 2022",2022-04-25T04:01:04.000Z,"PhonePe App Download Fast : जाने इस आसान तरीके से आप कमा सकते है हर दिन 300 रुपये  #upi   #PhonePeAppDownloadFast    #PhonePeapp    #cashback   #Moneysend   #offer 
",,,2,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,Narayan Seva Sansthan UK,/NarayanSevaUK,"Apr 10, 2021",2021-04-10T09:22:50.000Z,"Now online donation is even more simplified using the   #PhonePeApp  .
Thank You, PhonePe, for addressing us with the Top Three Positions in Donation Category.
 #PhonePe   #NarayanSevaSansthan   #DonateToServe   #WorldOfHumanity",,,,phonePe
https://twitter.com/search?q=%23phonepeapp&src=typed_query&f=top,Barkha kukase,/_BARKHAKUKASE_,"Aug 23, 2018",2018-08-23T11:33:59.000Z,#phonepe  can you be little bit real ...???  #nocashback    #phonepeapp    #phonepelies   #PhonePe   #bengaluru   #upipaymentapp   #PhonePesucks   #flipkart  you should change your mind ..I was in love with this app but ...I need to change....meanwhile,1,1,3,phonePe
