search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,Pi Network Web3,/PiBelimed,Sep 25,2023-09-25T11:17:23.000Z,"The QR Code feature makes the process of getting paid in  #Pi  a lot easier, especially for merchants. They can print out their QR Code and get paid easily. Fantastic feature.    #Pichainmall   #PiNetwork    #QRcode    #PiPayment",2,10,107,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,Tatsuya Tanaka 田中達也,/tanaka_tatsuya,10h,2023-09-27T22:59:31.000Z,"子供の頃、テレビの砂嵐は
何かの暗号だと思っていました。
 #QRコード   #砂嵐    #QRcode    #Static",3,26,608,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,Pi Network Web3,/PiBelimed,Sep 21,2023-09-21T15:29:13.000Z,"Pi network has been upgraded to the Star 20 protocol. The wallet can scan the code to transfer, add contact transfer, address transfer and transfer notes. More good news comes one after another.
Send the wallet to add scanning code payment    #PiNetwork    #QRCode",2,26,151,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,WeWae,/wtksr,Sep 23,2023-09-23T18:08:55.000Z,#QRcode    #เกมท้าลิขิตพิชิตชะตา  สิงชั่ว น้องชายผู้เป็นครอบครัวเพียงหนึ่งเดียวของสิงเยี่ย เสียชีวิตด้วยหัวใจหยุดเต้นฉับพลัน สิงเยี่ยไม่เชื่อในโชคชะตา สืบหาสาเหตุการตายทุกทาง ขนาดฝันยังเห็นน้องชายยามพบกันครั้งสุดท้าย วันนั้นน้องชายดูแปลกไป เหมือนอยากปรึกษาเรื่อง QR code ในจอมือถือ,1,,,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,Adv. Aliya Siddiqui,/aliyasiddiqui__,Sep 26,2023-09-26T06:39:37.000Z,"#ChangeMaker  
To Register a Mobile Phone Loss Complaint in Hapur, You Just Have to Scan a QR Code

Read on- 
 …
Excellent     Ji 
           #UPPolice   #HapurPolice    #QRCode    #QRCodeInitiative",,2,3,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,Kim Souza Carson - Author,/Souza_Author,Sep 23,2023-09-23T15:57:06.000Z,Scan the QR code for easy access!  #blog   #blogger   #write   #writer   #writing   #writingcommunity   #nottomissnovels   #kscauthor   #authorksc   #Souza_Author   #books   #read   #reading   #workspace   #fridaymorning   #thewoodedinstrument   #femaleattributes   #theclinician    #QRCode,2,2,2,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,mindeon,/mindeondev,Sep 25,2023-09-25T06:02:55.000Z,"Barcodes Generator Unlimited 
 
The perfect app for generating barcodes and QR codes. No ads, no internet connection, no subscriptions required.  #barcodegenerator    #qrcode    #gtin   #ean   #upc   #isbn   #retail   #barcodescanner   #ecommerce   #smallbusiness",1,2,7,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,SecuNinja support ,/secuninja,Sep 22,2023-09-22T11:38:22.000Z,"massive  #phishing  wave is rolling, using   #QRCode   to steal credentials and maybe even bypass MFA.

Inform your staff! Do not carelessly scan QR coming in via e-mail! It could be the last thing you scan for a long time...   Sender domains in threat",2,3,3,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,QodeNext,/QodeNext,23h,2023-09-27T10:53:27.000Z,"#Infographic : A Look at the concepts of  #IndustrialRevolution !

 #SupplyChain   #Automation   #BI   #RFID   #Barcode   #Manufacturing   #IoT   #ERP   #Cloud   #ArtificialIntelligence   #Industry40    #QRCode  

cc:             ",,1,3,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,QodeNext,/QodeNext,22h,2023-09-27T11:30:28.000Z,"#Infographic : A Look at why we need IoT enabled  #Traceability !

 #SupplyChain   #Automation   #RFID   #Barcode   #Manufacturing   #IoT   #ERP   #Cloud   #AI   #Technology    #QRCode    #TrackAndTrace   #BlockChain 

cc:             ",,1,3,QR
https://twitter.com/search?q=%23qrcode&src=typed_query&f=top,Prequel Labs,/prequellabs,20h,2023-09-27T13:09:24.000Z, We just created this amazing piece with the help of  #AI !   Can you spot the hidden QR code within? Scan it if you can find it!     #QRcode    #Marketingtools   #ContentCreator,,1,2,QR
