search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,CA. Sanchit Jain,/Financekefunde,"Oct 20, 2022",2022-10-20T03:30:06.000Z,"The fraudster also claims you must enter your UPI Pin to receive money. The moment you do that, money is debited from your account.
 #banking   #share   #police   #onlinescam   #financialawareness   #financialscams   #bankfraud   #qrcode    #qrscam",1,,,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,GoingForTheOne,/goingftotrack5,"Aug 28, 2021",2021-08-28T01:27:20.000Z,"Make sure you show the tick... 
Nah,  this is more fun. 
  #QRscam",,,,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,FaeryQueen44 ,/FaeryQueen44,"Feb 23, 2022",2022-02-23T13:12:53.000Z,"Je l'savais que les codes Cul-Air c'tait de la grosse  .
  #qrscam",,1,1,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,Lokender Singh IPS,/lokender_IPS,"Dec 26, 2019",2019-12-26T14:56:37.000Z,Beware of fake paytm KYC verification calls !! ⁦ ⁩   #QRscam   ⁦ ⁩ ⁦ ⁩  #faridabad  ⁦ ⁩,,,2,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,Center for Food Safety,/CFSTrueFood,"Jan 19, 2022",2022-01-18T23:13:26.000Z,"Not only is directing consumers to scan QR codes or call an 800 number an onerous and completely unacceptable burden on the public (especially during a pandemic), it is also illegally discriminatory. Almost one-quarter of Americans do not have a smartphone.   #QRscam    #GMOlabeling",,2,6,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,Help Net Security,/helpnetsecurity,Mar 21,2023-03-21T07:30:00.000Z,Threat actors are experimenting with QR codes -   -       -   #QRScam    #PhishingAttacks   #CyberSecurity   #netsec   #security   #InfoSecurity   #CISO   #ITsecurity   #CyberSecurityNews   #SecurityNews,,2,2,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,NTV Telugu,/NtvTeluguLive,Feb 24,2023-02-24T08:01:24.000Z,"OLX లో 3 వేల వస్తువు కోసం ,6 లక్షలు పోగొట్టుకున్నాడు..

FULL VIDEO >>>
 
 #olx   #Cyber   #cybercrime   #fraudsters    #qrscam    #NTVNews   #NTVTelugu",,4,8,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,Aegon Life India,/AegonLife,Jul 5,2023-07-05T06:48:34.000Z,"QR codes are convenient, but they can also be dangerous!

Active vigilance is the key to protect yourself 
 #AegonTohTensionGone   #CyberJagrooktaDiwas   #DataPrivacy   #Phishing    #QRScam    #CyberSecurity   #Awareness   #Innvikta 

Security Awareness Partner   Cybersecurity Solutions…  Show more",,,1,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,NBTtech,/NbtTech,"Jan 25, 2022",2022-01-25T06:35:31.000Z,"कहीं आपने भी तो नहीं किया इस QR Code का इस्तेमाल? जिंदगी भर रोना पड़ेगा अगर किया होगा ये काम

 
  #QRScam    #QRCodeScam",,1,2,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,Liron Segev is TheTechieGuy,/Liron_Segev,"Feb 23, 2022",2022-02-23T03:37:51.000Z,"I warned you not to scan QR codes...and the    agrees:
 
 #QRcode   #scammer    #qrscam",,,2,QR
https://twitter.com/search?q=%23qrscam&src=typed_query&f=top,Jason Knowles,/KnowlesABC7,"Jan 28, 2022",2022-01-28T15:32:20.000Z,#QRcode    #QRSCAM   How to avoid the QR CON ARTISTS:     ,,,,QR
