search_link,user_name,user_handle,tweet_date,timestamp,tweet_content,replies,retweets,likes,app
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,TAR1Q طرق,/TariqFas,"Aug 11, 2020",2020-08-11T13:48:59.000Z,"Y'all remember this? Well, its here,   to the world.  #cowrycard    #tapandgo    #touchandpay",15,40,105,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Payaza Africa Limited,/mypayaza,Sep 20,2023-09-20T17:35:31.000Z,"Payment solutions quicker than instant coffee  
 #SwiftPayments 
 #FinancialFreedom 
 #MobilePayments   #PayTech 
  #TapAndGo    #DigitalCurrency 
 #SmartMoney   #ContactlessPayments 
 #MoneyManagement 
 #PaymentTech   #CryptoPayments",,5,4,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Louis Arsene NSHIMIYIMANA,/lanshimiyimana,Sep 22,2023-09-22T16:27:24.000Z,How is the problem of pushing money from  #momo  to   #tapandgo   please help us   ,2,,,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,V-IRL,/V_IRL_DROPS,"Sep 29, 2022",2022-09-29T15:00:32.000Z,"No need to wait in line. 

With V-IRL you’re always on the list. 
  #TapAndGo    #v1v2   #Privacy",,2,12,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Bart Hofker,/BartHofker,"Mar 7, 2019",2019-03-07T16:02:05.000Z,"On the bus in Kigali with   from  , trying out Tap&Go, now super easy with    Mobile Money top-up!   #TapandGo    #MTNMoMo   #BrighterLives",5,36,158,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Kelita Rossi,/Kelita_Rossi,"Mar 17, 2018",2018-03-16T21:24:41.000Z,#milanicaffesamoa  is the first business in Samoa to upgrade to   #tapandgo   payment  #Anzsamoa  Go sissy!!!!,2,1,9,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,KennedysBarDingle,/KennedysDingle,"Jul 23, 2020",2020-07-23T12:17:20.000Z,"It actually took a pandemic for us to get a card machine...

 #feelingdefeated   #globalpandemic   #covid   #clover   #cardmachine    #tapandgo    #gettingready",1,1,13,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Touch And Pay (TAP),/touchandpayme,"Aug 17, 2020",2020-08-17T14:29:06.000Z,"It's all hands on today at TAP HQ!
.
How's your Monday going?
.
cc  
&   
.
.
.
 #taptopay   #entrepreneur   #cowrycard   #touchandpayme   #TAP   #contactless   #paymentcompany    #tapandgo    #mondaymotivation   #paymentsolutions   #rfid   #accesscontrol   #revenueassurance",,6,9,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Gotti,/GOTTI_MProtocol,Aug 31,2023-08-31T16:43:31.000Z,"Nice! With the rise of usage of  #ApplePay  and  #Googlepay , who needs a physical card anymore?

  confirms adding the  #SAFEMOON  virtual card!

  #TapAndGo  !",2,13,44,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top, Gentleman Jack,/RedCruz19,"Jun 24, 2022",2022-06-24T10:28:45.000Z,I heard if you inset the card at the transaction there’s no charge (because you can select SAVINGS) .. but if you    #TapAndGo   it’s considered a  #CreditCard  transaction and fees apply .. someone reading your post might be able to confirm or veto ,5,3,17,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,ITProgramme-BHT,/Itprogramme,"Oct 8, 2019",2019-10-08T14:37:04.000Z,Joining the “tap tap” crew on ward 3     #tapandgo    #sso   #golive   #BHTGoingDigital  ,,1,9,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Touch And Pay (TAP),/touchandpayme,"Aug 11, 2020",2020-08-11T17:18:08.000Z,"Lagos State Governor   Commissions the Electronic Transport Payment Card (Cowry Card) powered by Touch and Pay Technologies Limited
 #cowrycard   #cowrycard   #cowrycard 
  #tapandgo     #tapandgo     #tapandgo    #touchandpay   #touchandpay   #cowrycard   #cowrycard   #cowrycard 
  #tapandgo",4,10,17,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Alex Ntare,/antale,"Oct 6, 2018",2018-10-06T10:52:10.000Z,From a friend regarding     #TapandGo,,8,33,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,AC Group,/acgrouprw,"Jan 27, 2020",2020-01-27T08:51:01.000Z,"Ladies & Gentlemen, the winner is  ! We would like to thank all participants for such  #creative   #ideas . You may not have been the winner of this contest but you all were winners before us &   #TapandGo   is proud to have such great minds. Stay tuned on where these ideas go",6,2,33,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Cliff - That's All ,/PigSpotter,"Jul 25, 2018",2018-07-25T13:04:37.000Z,#ATT  This video has been doing the rounds about the   #TapAndGo   function. This is easily overcome by instructing your bank to make the tap and go function still require a pin. I have done that with  .,16,90,100,Contactless
https://twitter.com/search?q=%23tapandgo&src=typed_query&f=top,Trevor Long ,/trevorlong,"Apr 17, 2019",2019-04-17T11:05:28.000Z,"Parents, I have bad news. The ""sorry kids I don't have any coins"" excuse is over. Done. Dusted. Finished.  
  #TapAndGo",11,2,33,Contactless
